"","time","sentiment.ts","ncrimes","sentcat","ratecat"
"1",1396841760,-5267,4.75,"m","m"
"2",1396928160,-3773,4.58333333333333,"h","m"
"3",1397014560,-1089,5.04166666666667,"h","h"
"4",1397100960,-5238,4.25,"m","l"
"5",1397187360,-5156,4.58333333333333,"m","m"
"6",1397273760,-2325,4.95833333333333,"h","m"
"7",1397360160,-3806,5.25,"m","h"
"8",1397446560,-5618,5.20833333333333,"m","h"
"9",1397532960,-9080,4.29166666666667,"l","l"
"10",1397619360,-6912,4.29166666666667,"l","l"
"11",1397705760,-7856,5.08333333333333,"l","h"
"12",1397792160,-4656,4.45833333333333,"m","m"
"13",1397878560,-3509,5.04166666666667,"h","h"
"14",1397964960,-4239,4.41666666666667,"m","m"
"15",1398051360,-6265,4.5,"l","m"
"16",1398137760,-7051,4.41666666666667,"l","m"
"17",1398224160,-6157,4.91666666666667,"m","m"
"18",1398310560,-4298,3.83333333333333,"m","l"
"19",1398396960,-5140,3.54166666666667,"m","l"
"20",1398483360,0,0,"h","l"
