"","c","t","cp","ip","diff.","c.1","t.1","cp.1","ip.1","diff.1","c.2","t.2","cp.2","ip.2","diff.2","c.3","t.3","cp.3","ip.3","diff.3","c.4","t.4","cp.4","ip.4","diff.4","c.5","t.5","cp.5","ip.5","diff.5","c.6","t.6","cp.6","ip.6","diff.6","c.7","t.7","cp.7","ip.7","diff.7","c.8","t.8","cp.8","ip.8","diff.8","c.9","t.9","cp.9","ip.9","diff.9","c.10","t.10","cp.10","ip.10","diff.10","c.11","t.11","cp.11","ip.11","diff.11","c.12","t.12","cp.12","ip.12","diff.12","c.13","t.13","cp.13","ip.13","diff.13","c.14","t.14","cp.14","ip.14","diff.14","c.15","t.15","cp.15","ip.15","diff.15","c.16","t.16","cp.16","ip.16","diff.16","c.17","t.17","cp.17","ip.17","diff.17","c.18","t.18","cp.18","ip.18","diff.18","c.19","t.19","cp.19","ip.19","diff.19","c.20","t.20","cp.20","ip.20","diff.20","c.21","t.21","cp.21","ip.21","diff.21","c.22","t.22","cp.22","ip.22","diff.22","c.23","t.23","cp.23","ip.23","diff.23","c.24","t.24","cp.24","ip.24","diff.24","c.25","t.25","cp.25","ip.25","diff.25","c.26","t.26","cp.26","ip.26","diff.26","c.27","t.27","cp.27","ip.27","diff.27","c.28","t.28","cp.28","ip.28","diff.28","c.29","t.29","cp.29","ip.29","diff.29","c.30","t.30","cp.30","ip.30","diff.30","c.31","t.31","cp.31","ip.31","diff.31","c.32","t.32","cp.32","ip.32","diff.32","c.33","t.33","cp.33","ip.33","diff.33","c.34","t.34","cp.34","ip.34","diff.34","c.35","t.35","cp.35","ip.35","diff.35","c.36","t.36","cp.36","ip.36","diff.36","c.37","t.37","cp.37","ip.37","diff.37","c.38","t.38","cp.38","ip.38","diff.38","c.39","t.39","cp.39","ip.39","diff.39","c.40","t.40","cp.40","ip.40","diff.40","c.41","t.41","cp.41","ip.41","diff.41","c.42","t.42","cp.42","ip.42","diff.42","c.43","t.43","cp.43","ip.43","diff.43","c.44","t.44","cp.44","ip.44","diff.44","c.45","t.45","cp.45","ip.45","diff.45","c.46","t.46","cp.46","ip.46","diff.46","c.47","t.47","cp.47","ip.47","diff.47","c.48","t.48","cp.48","ip.48","diff.48","c.49","t.49","cp.49","ip.49","diff.49","c.50","t.50","cp.50","ip.50","diff.50","c.51","t.51","cp.51","ip.51","diff.51","c.52","t.52","cp.52","ip.52","diff.52","c.53","t.53","cp.53","ip.53","diff.53","c.54","t.54","cp.54","ip.54","diff.54","c.55","t.55","cp.55","ip.55","diff.55","c.56","t.56","cp.56","ip.56","diff.56","c.57","t.57","cp.57","ip.57","diff.57","c.58","t.58","cp.58","ip.58","diff.58","c.59","t.59","cp.59","ip.59","diff.59","c.60","t.60","cp.60","ip.60","diff.60","c.61","t.61","cp.61","ip.61","diff.61","c.62","t.62","cp.62","ip.62","diff.62","c.63","t.63","cp.63","ip.63","diff.63","c.64","t.64","cp.64","ip.64","diff.64","c.65","t.65","cp.65","ip.65","diff.65","c.66","t.66","cp.66","ip.66","diff.66","c.67","t.67","cp.67","ip.67","diff.67","c.68","t.68","cp.68","ip.68","diff.68","c.69","t.69","cp.69","ip.69","diff.69","c.70","t.70","cp.70","ip.70","diff.70","c.71","t.71","cp.71","ip.71","diff.71","c.72","t.72","cp.72","ip.72","diff.72","c.73","t.73","cp.73","ip.73","diff.73","c.74","t.74","cp.74","ip.74","diff.74","c.75","t.75","cp.75","ip.75","diff.75","c.76","t.76","cp.76","ip.76","diff.76","c.77","t.77","cp.77","ip.77","diff.77","c.78","t.78","cp.78","ip.78","diff.78","c.79","t.79","cp.79","ip.79","diff.79","c.80","t.80","cp.80","ip.80","diff.80","c.81","t.81","cp.81","ip.81","diff.81","c.82","t.82","cp.82","ip.82","diff.82","c.83","t.83","cp.83","ip.83","diff.83","c.84","t.84","cp.84","ip.84","diff.84","c.85","t.85","cp.85","ip.85","diff.85","c.86","t.86","cp.86","ip.86","diff.86","c.87","t.87","cp.87","ip.87","diff.87","c.88","t.88","cp.88","ip.88","diff.88","c.89","t.89","cp.89","ip.89","diff.89","c.90","t.90","cp.90","ip.90","diff.90","c.91","t.91","cp.91","ip.91","diff.91","c.92","t.92","cp.92","ip.92","diff.92","c.93","t.93","cp.93","ip.93","diff.93","c.94","t.94","cp.94","ip.94","diff.94","c.95","t.95","cp.95","ip.95","diff.95","c.96","t.96","cp.96","ip.96","diff.96"
"1","l","l",0.0254237288135593,0.141649048625793,-0.116225319812233,"l","l",0.0423728813559322,0.141649048625793,-0.0992761672698606,"l","l",0.101694915254237,0.141649048625793,-0.0399541333715555,"l","l",0.110169491525424,0.13953488372093,-0.0293653921955065,"l","l",0.144067796610169,0.137420718816068,0.00664707779410184,"l","l",0.220338983050847,0.137420718816068,0.0829182642347798,"l","l",0.23728813559322,0.137420718816068,0.0998674167771527,"l","l",0.271186440677966,0.137420718816068,0.133765721861898,"l","l",0.279661016949153,0.137420718816068,0.142240298133085,"l","l",0.26271186440678,0.137420718816068,0.125291145590712,"l","l",0.26271186440678,0.137420718816068,0.125291145590712,"l","l",0.220338983050847,0.137420718816068,0.0829182642347798,"l","l",0.211864406779661,0.137420718816068,0.0744436879635934,"l","l",0.169491525423729,0.137420718816068,0.0320708066076612,"l","l",0.11864406779661,0.137420718816068,-0.0187766510194575,"l","l",0.145299145299145,0.137420718816068,0.00787842648307763,"l","l",0.163793103448276,0.137420718816068,0.0263723846322082,"l","l",0.129310344827586,0.137420718816068,-0.00811037398848147,"l","l",0.130434782608696,0.137420718816068,-0.00698593620737201,"l","l",0.0964912280701754,0.137420718816068,-0.0409294907458922,"l","l",0.0884955752212389,0.137420718816068,-0.0489251435948287,"l","l",0.0625,0.137420718816068,-0.0749207188160677,"l","l",0.0357142857142857,0.137420718816068,-0.101706433101782,"l","l",0.0446428571428571,0.137420718816068,-0.0927778616732105,"l","l",0.0625,0.137420718816068,-0.0749207188160677,"l","l",0.0535714285714286,0.135306553911205,-0.0817351253397765,"l","l",0.0892857142857143,0.135306553911205,-0.0460208396254908,"l","l",0.0810810810810811,0.133192389006343,-0.0521113079252614,"l","l",0.144144144144144,0.133192389006343,0.0109517551378016,"l","l",0.216216216216216,0.13107822410148,0.0851379921147363,"l","l",0.27027027027027,0.128964059196617,0.141306211073653,"l","l",0.27027027027027,0.128964059196617,0.141306211073653,"l","l",0.279279279279279,0.126849894291755,0.152429384987525,"l","l",0.27027027027027,0.126849894291755,0.143420375978516,"l","l",0.252252252252252,0.126849894291755,0.125402357960497,"l","l",0.216216216216216,0.126849894291755,0.0893663219244615,"l","l",0.171171171171171,0.126849894291755,0.0443212768794164,"l","l",0.18018018018018,0.126849894291755,0.0533302858884254,"l","l",0.171171171171171,0.126849894291755,0.0443212768794164,"l","l",0.162162162162162,0.126849894291755,0.0353122678704074,"l","l",0.144144144144144,0.126849894291755,0.0172942498523894,"l","l",0.126126126126126,0.126849894291755,-0.000723768165628635,"l","l",0.118181818181818,0.126849894291755,-0.00866807610993657,"l","l",0.0642201834862385,0.126849894291755,-0.0626297108055162,"l","l",0.0555555555555556,0.126849894291755,-0.0712943387361992,"l","l",0.0467289719626168,0.126849894291755,-0.0801209223291379,"l","l",0.0467289719626168,0.126849894291755,-0.0801209223291379,"l","l",0.0467289719626168,0.126849894291755,-0.0801209223291379,"l","l",0.0467289719626168,0.126849894291755,-0.0801209223291379,"l","l",0.0560747663551402,0.126849894291755,-0.0707751279366146,"l","l",0.0560747663551402,0.126849894291755,-0.0707751279366146,"l","l",0.102803738317757,0.126849894291755,-0.0240461559739977,"l","l",0.158878504672897,0.124735729386892,0.034142775286005,"l","l",0.205607476635514,0.12262156448203,0.0829859121534844,"l","l",0.252336448598131,0.120507399577167,0.131829049020964,"l","l",0.242990654205607,0.118393234672304,0.124597419533303,"l","l",0.224299065420561,0.116279069767442,0.108019995653119,"l","l",0.233644859813084,0.116279069767442,0.117365790045642,"l","l",0.196261682242991,0.116279069767442,0.0799826124755488,"l","l",0.168224299065421,0.116279069767442,0.0519452292979787,"l","l",0.177570093457944,0.116279069767442,0.0612910236905021,"l","l",0.158878504672897,0.116279069767442,0.0425994349054553,"l","l",0.186915887850467,0.116279069767442,0.0706368180830254,"l","l",0.177570093457944,0.116279069767442,0.0612910236905021,"l","l",0.149532710280374,0.116279069767442,0.033253640512932,"l","l",0.168224299065421,0.116279069767442,0.0519452292979787,"l","l",0.113207547169811,0.116279069767442,-0.00307152259763055,"l","l",0.122641509433962,0.116279069767442,0.00636243966652039,"l","l",0.0952380952380952,0.116279069767442,-0.0210409745293466,"l","l",0.0666666666666667,0.116279069767442,-0.0496124031007752,"l","l",0.0666666666666667,0.116279069767442,-0.0496124031007752,"l","l",0.0673076923076923,0.116279069767442,-0.0489713774597496,"l","l",0.0480769230769231,0.116279069767442,-0.0682021466905188,"l","l",0.0776699029126214,0.116279069767442,-0.0386091668548205,"l","l",0.087378640776699,0.116279069767442,-0.0289004289907428,"l","l",0.117647058823529,0.116279069767442,0.00136798905608755,"l","l",0.156862745098039,0.116279069767442,0.0405836753305974,"l","l",0.205882352941176,0.114164904862579,0.0917174480785972,"l","l",0.245098039215686,0.112050739957717,0.13304729925797,"l","l",0.237623762376238,0.109936575052854,0.127687187323383,"l","l",0.217821782178218,0.107822410147992,0.109999372030226,"l","l",0.207920792079208,0.105708245243129,0.102212546836079,"l","l",0.198019801980198,0.105708245243129,0.0923115567370691,"l","l",0.148514851485149,0.105708245243129,0.0428066062420195,"l","l",0.188118811881188,0.105708245243129,0.0824105666380591,"l","l",0.158415841584158,0.105708245243129,0.0527075963410295,"l","l",0.138613861386139,0.105708245243129,0.0329056161430096,"l","l",0.099009900990099,0.105708245243129,-0.00669834425302995,"l","l",0.11,0.105708245243129,0.00429175475687103,"l","l",0.111111111111111,0.105708245243129,0.00540286586798214,"l","l",0.0918367346938776,0.105708245243129,-0.0138715105492514,"l","l",0.0927835051546392,0.105708245243129,-0.0129247400884898,"l","l",0.0833333333333333,0.105708245243129,-0.0223749119097956,"l","l",0.0315789473684211,0.105708245243129,-0.0741292978747079,"l","l",0.0526315789473684,0.105708245243129,-0.0530766662957605,"l","l",0.0631578947368421,0.105708245243129,-0.0425503505062869,"l","l",0.0631578947368421,0.105708245243129,-0.0425503505062869
"2","l","m",0.126050420168067,0.141649048625793,-0.0155986284577256,"l","m",0.126050420168067,0.141649048625793,-0.0155986284577256,"l","m",0.130252100840336,0.141649048625793,-0.0113969477854567,"l","m",0.130801687763713,0.13953488372093,-0.00873319595721714,"l","m",0.122881355932203,0.137420718816068,-0.0145393628838643,"l","m",0.0893617021276596,0.137420718816068,-0.0480590166884081,"l","m",0.0936170212765957,0.137420718816068,-0.0438036975394719,"l","m",0.0808510638297872,0.137420718816068,-0.0565696549862804,"l","m",0.0808510638297872,0.137420718816068,-0.0565696549862804,"l","m",0.102127659574468,0.137420718816068,-0.0352930592415996,"l","m",0.0978723404255319,0.137420718816068,-0.0395483783905357,"l","m",0.127659574468085,0.137420718816068,-0.00976114434798256,"l","m",0.128205128205128,0.137420718816068,-0.00921559061093946,"l","m",0.163090128755365,0.137420718816068,0.0256694099392971,"l","m",0.181034482758621,0.137420718816068,0.043613763942553,"l","m",0.168103448275862,0.137420718816068,0.0306827294597944,"l","m",0.163793103448276,0.137420718816068,0.0263723846322082,"l","m",0.186147186147186,0.137420718816068,0.0487264673311185,"l","m",0.177489177489178,0.137420718816068,0.0400684586731098,"l","m",0.181818181818182,0.137420718816068,0.0443974630021142,"l","m",0.164502164502164,0.137420718816068,0.0270814456860968,"l","m",0.151515151515152,0.137420718816068,0.0140944326990839,"l","m",0.160869565217391,0.137420718816068,0.0234488464013236,"l","m",0.148471615720524,0.137420718816068,0.0110508969044563,"l","m",0.131578947368421,0.137420718816068,-0.00584177144764661,"l","m",0.158590308370044,0.135306553911205,0.023283754458839,"l","m",0.163716814159292,0.135306553911205,0.0284102602480869,"l","m",0.176991150442478,0.133192389006343,0.0437987614361354,"l","m",0.16,0.133192389006343,0.0268076109936575,"l","m",0.129464285714286,0.13107822410148,-0.0016139383871942,"l","m",0.112107623318386,0.128964059196617,-0.0168564358782317,"l","m",0.112612612612613,0.128964059196617,-0.0163514465840047,"l","m",0.113122171945701,0.126849894291755,-0.0137277223460534,"l","m",0.118181818181818,0.126849894291755,-0.00866807610993657,"l","m",0.109090909090909,0.126849894291755,-0.0177589852008457,"l","m",0.140909090909091,0.126849894291755,0.0140591966173362,"l","m",0.159090909090909,0.126849894291755,0.0322410147991544,"l","m",0.177272727272727,0.126849894291755,0.0504228329809725,"l","m",0.164383561643836,0.126849894291755,0.0375336673520809,"l","m",0.169724770642202,0.126849894291755,0.0428748763504471,"l","m",0.19815668202765,0.126849894291755,0.071306787735895,"l","m",0.189814814814815,0.126849894291755,0.06296492052306,"l","m",0.180555555555556,0.126849894291755,0.0537056612638008,"l","m",0.203703703703704,0.126849894291755,0.0768538094119489,"l","m",0.180555555555556,0.126849894291755,0.0537056612638008,"l","m",0.171296296296296,0.126849894291755,0.0444464020045415,"l","m",0.144186046511628,0.126849894291755,0.0173361522198732,"l","m",0.130841121495327,0.126849894291755,0.00399122720357234,"l","m",0.145539906103286,0.126849894291755,0.0186900118115317,"l","m",0.136792452830189,0.126849894291755,0.00994255853843393,"l","m",0.146919431279621,0.126849894291755,0.0200695369878661,"l","m",0.147619047619048,0.126849894291755,0.0207691533272929,"l","m",0.138095238095238,0.124735729386892,0.0133595087083459,"l","m",0.119617224880383,0.12262156448203,-0.00300433960164682,"l","m",0.0961538461538462,0.120507399577167,-0.0243535534233209,"l","m",0.101449275362319,0.118393234672304,-0.0169439593099856,"l","m",0.106796116504854,0.116279069767442,-0.0094829532625875,"l","m",0.0975609756097561,0.116279069767442,-0.0187180941576858,"l","m",0.117073170731707,0.116279069767442,0.000794100964265451,"l","m",0.121951219512195,0.116279069767442,0.00567214974475326,"l","m",0.121951219512195,0.116279069767442,0.00567214974475326,"l","m",0.141463414634146,0.116279069767442,0.0251843448667045,"l","m",0.126829268292683,0.116279069767442,0.0105501985252411,"l","m",0.136585365853659,0.116279069767442,0.0203062960862167,"l","m",0.146341463414634,0.116279069767442,0.0300623936471923,"l","m",0.136585365853659,0.116279069767442,0.0203062960862167,"l","m",0.160975609756098,0.116279069767442,0.0446965399886557,"l","m",0.136585365853659,0.116279069767442,0.0203062960862167,"l","m",0.141463414634146,0.116279069767442,0.0251843448667045,"l","m",0.127450980392157,0.116279069767442,0.011171910624715,"l","m",0.12807881773399,0.116279069767442,0.0117997479665483,"l","m",0.133004926108374,0.116279069767442,0.0167258563409325,"l","m",0.148514851485149,0.116279069767442,0.0322357817177066,"l","m",0.128712871287129,0.116279069767442,0.0124338015196869,"l","m",0.134328358208955,0.116279069767442,0.0180492884415134,"l","m",0.154228855721393,0.116279069767442,0.0379497859539512,"l","m",0.14,0.116279069767442,0.0237209302325581,"l","m",0.125628140703518,0.114164904862579,0.0114632358409383,"l","m",0.111111111111111,0.112050739957717,-0.000939628846605603,"l","m",0.106060606060606,0.109936575052854,-0.00387596899224806,"l","m",0.121827411167513,0.107822410147992,0.0140050010195211,"l","m",0.11734693877551,0.105708245243129,0.0116386935323813,"l","m",0.123076923076923,0.105708245243129,0.0173686778337941,"l","m",0.123076923076923,0.105708245243129,0.0173686778337941,"l","m",0.117948717948718,0.105708245243129,0.012240472705589,"l","m",0.139175257731959,0.105708245243129,0.0334670124888298,"l","m",0.155440414507772,0.105708245243129,0.0497321692646431,"l","m",0.15625,0.105708245243129,0.050541754756871,"l","m",0.151041666666667,0.105708245243129,0.0453334214235377,"l","m",0.15625,0.105708245243129,0.050541754756871,"l","m",0.161458333333333,0.105708245243129,0.0557500880902044,"l","m",0.145833333333333,0.105708245243129,0.0401250880902044,"l","m",0.135416666666667,0.105708245243129,0.0297084214235377,"l","m",0.161458333333333,0.105708245243129,0.0557500880902044,"l","m",0.130890052356021,0.105708245243129,0.025181807112892,"l","m",0.131578947368421,0.105708245243129,0.0258707021252921,"l","m",0.137566137566138,0.105708245243129,0.0318578923230086
"3","l","h",0.290598290598291,0.141649048625793,0.148949241972498,"l","h",0.275862068965517,0.141649048625793,0.134213020339724,"l","h",0.208695652173913,0.141649048625793,0.0670466035481202,"l","h",0.191304347826087,0.13953488372093,0.0517694641051567,"l","h",0.165217391304348,0.137420718816068,0.0277966724882802,"l","h",0.156521739130435,0.137420718816068,0.0191010203143671,"l","h",0.131578947368421,0.137420718816068,-0.00584177144764661,"l","h",0.123893805309734,0.137420718816068,-0.0135269135063332,"l","h",0.116071428571429,0.137420718816068,-0.0213492902446391,"l","h",0.0900900900900901,0.137420718816068,-0.0473306287259776,"l","h",0.1,0.137420718816068,-0.0374207188160676,"l","h",0.0825688073394495,0.137420718816068,-0.0548519114766181,"l","h",0.0917431192660551,0.137420718816068,-0.0456775995500126,"l","h",0.0642201834862385,0.137420718816068,-0.0732005353298291,"l","h",0.0825688073394495,0.137420718816068,-0.0548519114766181,"l","h",0.0825688073394495,0.137420718816068,-0.0548519114766181,"l","h",0.073394495412844,0.137420718816068,-0.0640262234032236,"l","h",0.0642201834862385,0.137420718816068,-0.0732005353298291,"l","h",0.0825688073394495,0.137420718816068,-0.0548519114766181,"l","h",0.110091743119266,0.137420718816068,-0.0273289756968016,"l","h",0.155963302752294,0.137420718816068,0.0185425839362259,"l","h",0.211009174311927,0.137420718816068,0.073588455495859,"l","h",0.220183486238532,0.137420718816068,0.0827627674224644,"l","h",0.238532110091743,0.137420718816068,0.101111391275675,"l","h",0.256880733944954,0.137420718816068,0.119460015128886,"l","h",0.201834862385321,0.135306553911205,0.066528308474116,"l","h",0.155963302752294,0.135306553911205,0.0206567488410885,"l","h",0.128440366972477,0.133192389006343,-0.00475202203386543,"l","h",0.100917431192661,0.133192389006343,-0.032274957813682,"l","h",0.0825688073394495,0.13107822410148,-0.0485094167620304,"l","h",0.055045871559633,0.128964059196617,-0.0739181876369843,"l","h",0.055045871559633,0.128964059196617,-0.0739181876369843,"l","h",0.036697247706422,0.126849894291755,-0.0901526465853327,"l","h",0.036697247706422,0.126849894291755,-0.0901526465853327,"l","h",0.0740740740740741,0.126849894291755,-0.0527758202176807,"l","h",0.0467289719626168,0.126849894291755,-0.0801209223291379,"l","h",0.0566037735849057,0.126849894291755,-0.0702461207068491,"l","h",0.00952380952380952,0.126849894291755,-0.117326084767945,"l","h",0.0476190476190476,0.126849894291755,-0.0792308466727071,"l","h",0.0476190476190476,0.126849894291755,-0.0792308466727071,"l","h",0.00952380952380952,0.126849894291755,-0.117326084767945,"l","h",0.0476190476190476,0.126849894291755,-0.0792308466727071,"l","h",0.0761904761904762,0.126849894291755,-0.0506594181012786,"l","h",0.0857142857142857,0.126849894291755,-0.041135608577469,"l","h",0.142857142857143,0.126849894291755,0.0160072485653881,"l","h",0.171428571428571,0.126849894291755,0.0445786771368167,"l","h",0.228571428571429,0.126849894291755,0.101721534279674,"l","h",0.257142857142857,0.126849894291755,0.130292962851102,"l","h",0.228571428571429,0.126849894291755,0.101721534279674,"l","h",0.238095238095238,0.126849894291755,0.111245343803483,"l","h",0.219047619047619,0.126849894291755,0.0921977247558643,"l","h",0.171428571428571,0.126849894291755,0.0445786771368167,"l","h",0.125,0.124735729386892,0.000264270613107825,"l","h",0.105769230769231,0.12262156448203,-0.0168523337127988,"l","h",0.0961538461538462,0.120507399577167,-0.0243535534233209,"l","h",0.0865384615384616,0.118393234672304,-0.0318547731338429,"l","h",0.0865384615384616,0.116279069767442,-0.0297406082289803,"l","h",0.0961538461538462,0.116279069767442,-0.0201252236135957,"l","h",0.0970873786407767,0.116279069767442,-0.0191916911266652,"l","h",0.117647058823529,0.116279069767442,0.00136798905608755,"l","h",0.108910891089109,0.116279069767442,-0.00736817867833295,"l","h",0.09,0.116279069767442,-0.0262790697674419,"l","h",0.0909090909090909,0.116279069767442,-0.0253699788583509,"l","h",0.0816326530612245,0.116279069767442,-0.0346464167062174,"l","h",0.0927835051546392,0.116279069767442,-0.0234955646128027,"l","h",0.09375,0.116279069767442,-0.0225290697674419,"l","h",0.104166666666667,0.116279069767442,-0.0121124031007752,"l","h",0.147368421052632,0.116279069767442,0.0310893512851897,"l","h",0.168421052631579,0.116279069767442,0.0521419828641371,"l","h",0.231578947368421,0.116279069767442,0.115299877600979,"l","h",0.231578947368421,0.116279069767442,0.115299877600979,"l","h",0.221052631578947,0.116279069767442,0.104773561811506,"l","h",0.210526315789474,0.116279069767442,0.0942472460220318,"l","h",0.221052631578947,0.116279069767442,0.104773561811506,"l","h",0.2,0.116279069767442,0.0837209302325581,"l","h",0.126315789473684,0.116279069767442,0.0100367197062424,"l","h",0.115789473684211,0.116279069767442,-0.000489596083231333,"l","h",0.0842105263157895,0.114164904862579,-0.0299543785467898,"l","h",0.0631578947368421,0.112050739957717,-0.0488928452208746,"l","h",0.0736842105263158,0.109936575052854,-0.0362523645265383,"l","h",0.0526315789473684,0.107822410147992,-0.0551908312006231,"l","h",0.0631578947368421,0.105708245243129,-0.0425503505062869,"l","h",0.0631578947368421,0.105708245243129,-0.0425503505062869,"l","h",0.117021276595745,0.105708245243129,0.0113130313526157,"l","h",0.0860215053763441,0.105708245243129,-0.0196867398667849,"l","h",0.0752688172043011,0.105708245243129,-0.0304394280388279,"l","h",0.0645161290322581,0.105708245243129,-0.0411921162108709,"l","h",0.10752688172043,0.105708245243129,0.00181863647730114,"l","h",0.10752688172043,0.105708245243129,0.00181863647730114,"l","h",0.0967741935483871,0.105708245243129,-0.00893405169474187,"l","h",0.10752688172043,0.105708245243129,0.00181863647730114,"l","h",0.139784946236559,0.105708245243129,0.0340767009934302,"l","h",0.172043010752688,0.105708245243129,0.0663347655095592,"l","h",0.172043010752688,0.105708245243129,0.0663347655095592,"l","h",0.21505376344086,0.105708245243129,0.109345518197731,"l","h",0.204301075268817,0.105708245243129,0.0985928300256882,"l","h",0.193548387096774,0.105708245243129,0.0878401418536452
"4","m","l",0.593220338983051,0.619450317124736,-0.0262299781416848,"m","l",0.627118644067797,0.617336152219873,0.00978249184792346,"m","l",0.601694915254237,0.615221987315011,-0.0135270720607732,"m","l",0.601694915254237,0.615221987315011,-0.0135270720607732,"m","l",0.661016949152542,0.615221987315011,0.0457949618375318,"m","l",0.567796610169492,0.613107822410148,-0.0453112122406564,"m","l",0.601694915254237,0.610993657505285,-0.0092987422510481,"m","l",0.584745762711864,0.608879492600423,-0.0241337298885584,"m","l",0.627118644067797,0.60676532769556,0.0203533163722364,"m","l",0.661016949152542,0.604651162790698,0.0563657863618447,"m","l",0.610169491525424,0.602536997885835,0.00763249363958862,"m","l",0.652542372881356,0.602536997885835,0.0500053749955208,"m","l",0.661016949152542,0.600422832980973,0.0605941161715698,"m","l",0.711864406779661,0.59830866807611,0.113555738703551,"m","l",0.728813559322034,0.596194503171247,0.132619056150787,"m","l",0.675213675213675,0.594080338266385,0.0811333369472905,"m","l",0.646551724137931,0.594080338266385,0.0524713858715463,"m","l",0.612068965517241,0.591966173361522,0.0201027921557192,"m","l",0.547826086956522,0.58985200845666,-0.0420259215001378,"m","l",0.56140350877193,0.587737843551797,-0.0263343347798672,"m","l",0.539823008849557,0.585623678646934,-0.045800669797377,"m","l",0.589285714285714,0.585623678646934,0.00366203563877987,"m","l",0.535714285714286,0.583509513742072,-0.0477952280277861,"m","l",0.580357142857143,0.583509513742072,-0.00315237088492892,"m","l",0.589285714285714,0.583509513742072,0.00577620054364247,"m","l",0.598214285714286,0.583509513742072,0.0147047719722139,"m","l",0.580357142857143,0.581395348837209,-0.00103820598006643,"m","l",0.648648648648649,0.581395348837209,0.0672532998114393,"m","l",0.585585585585586,0.579281183932347,0.00630440165323887,"m","l",0.540540540540541,0.579281183932347,-0.0387406433918062,"m","l",0.522522522522523,0.579281183932347,-0.0567586614098242,"m","l",0.549549549549549,0.577167019027484,-0.0276174694779346,"m","l",0.576576576576577,0.577167019027484,-0.000590442450907558,"m","l",0.594594594594595,0.575052854122622,0.0195417404719731,"m","l",0.630630630630631,0.572938689217759,0.0576919414128717,"m","l",0.621621621621622,0.570824524312896,0.0507970973087252,"m","l",0.684684684684685,0.570824524312896,0.113860160371788,"m","l",0.666666666666667,0.568710359408034,0.0979563072586328,"m","l",0.684684684684685,0.566596194503171,0.118088490181513,"m","l",0.630630630630631,0.564482029598309,0.0661486010323221,"m","l",0.612612612612613,0.564482029598309,0.048130583014304,"m","l",0.576576576576577,0.564482029598309,0.012094546978268,"m","l",0.572727272727273,0.562367864693446,0.0103594080338266,"m","l",0.55045871559633,0.560253699788584,-0.00979498419225333,"m","l",0.555555555555555,0.560253699788584,-0.00469814423302806,"m","l",0.532710280373832,0.560253699788584,-0.0275434194147518,"m","l",0.542056074766355,0.558139534883721,-0.0160834601173658,"m","l",0.598130841121495,0.558139534883721,0.0399913062377744,"m","l",0.616822429906542,0.558139534883721,0.0586828950228211,"m","l",0.560747663551402,0.556025369978858,0.0047222935725435,"m","l",0.635514018691589,0.553911205073996,0.0816028136175929,"m","l",0.588785046728972,0.551797040169133,0.0369880065598388,"m","l",0.598130841121495,0.551797040169133,0.0463338009523621,"m","l",0.570093457943925,0.551797040169133,0.018296417774792,"m","l",0.504672897196262,0.551797040169133,-0.0471241429728716,"m","l",0.551401869158878,0.551797040169133,-0.000395171010254769,"m","l",0.598130841121495,0.551797040169133,0.0463338009523621,"m","l",0.579439252336449,0.549682875264271,0.029756377072178,"m","l",0.672897196261682,0.547568710359408,0.125328485902274,"m","l",0.719626168224299,0.547568710359408,0.172057457864891,"m","l",0.719626168224299,0.545454545454545,0.174171622769754,"m","l",0.710280373831776,0.543340380549683,0.166939993282093,"m","l",0.691588785046729,0.543340380549683,0.148248404497046,"m","l",0.672897196261682,0.543340380549683,0.129556815711999,"m","l",0.654205607476636,0.54122621564482,0.112979391831815,"m","l",0.607476635514019,0.54122621564482,0.0662504198691983,"m","l",0.584905660377358,0.54122621564482,0.0436794447325382,"m","l",0.528301886792453,0.54122621564482,-0.0129243288523675,"m","l",0.504761904761905,0.54122621564482,-0.0364643108829155,"m","l",0.571428571428571,0.539112050739958,0.0323165206886137,"m","l",0.580952380952381,0.539112050739958,0.0418403302124232,"m","l",0.596153846153846,0.539112050739958,0.0570417954138885,"m","l",0.605769230769231,0.536997885835095,0.0687713449341357,"m","l",0.58252427184466,0.534883720930233,0.0476405509144276,"m","l",0.621359223300971,0.53276955602537,0.0885896672756009,"m","l",0.598039215686274,0.530655391120507,0.0673838245657671,"m","l",0.588235294117647,0.528541226215645,0.0596940679020023,"m","l",0.549019607843137,0.528541226215645,0.0204783816274924,"m","l",0.549019607843137,0.528541226215645,0.0204783816274924,"m","l",0.574257425742574,0.528541226215645,0.0457161995269294,"m","l",0.663366336633663,0.528541226215645,0.134825110418018,"m","l",0.623762376237624,0.528541226215645,0.095221150021979,"m","l",0.683168316831683,0.526427061310782,0.156741255520901,"m","l",0.702970297029703,0.52431289640592,0.178657400623783,"m","l",0.702970297029703,0.522198731501057,0.180771565528646,"m","l",0.712871287128713,0.520084566596195,0.192786720532518,"m","l",0.693069306930693,0.517970401691332,0.175098905239361,"m","l",0.722772277227723,0.515856236786469,0.206916040441253,"m","l",0.72,0.513742071881607,0.206257928118393,"m","l",0.646464646464646,0.513742071881607,0.13272257458304,"m","l",0.63265306122449,0.511627906976744,0.121025154247746,"m","l",0.608247422680412,0.511627906976744,0.0966195157036682,"m","l",0.625,0.511627906976744,0.113372093023256,"m","l",0.6,0.509513742071882,0.0904862579281184,"m","l",0.6,0.507399577167019,0.092600422832981,"m","l",0.6,0.507399577167019,0.092600422832981,"m","l",0.6,0.507399577167019,0.092600422832981
