"","time","sentiment.ts","ncrimes","sentcat","ratecat"
"1",1396841760,-382,3,"l","m"
"2",1396845360,-170,5,"m","m"
"3",1396848960,-202,1,"m","l"
"4",1396852560,-162,1,"m","l"
"5",1396856160,17,5,"h","m"
"6",1396859760,32,3,"h","m"
"7",1396863360,-11,2,"h","m"
"8",1396866960,-39,2,"m","m"
"9",1396870560,-89,6,"m","m"
"10",1396874160,-131,5,"m","m"
"11",1396877760,-276,7,"m","h"
"12",1396881360,-70,6,"m","m"
"13",1396884960,-278,6,"m","m"
"14",1396888560,-336,5,"l","m"
"15",1396892160,-234,4,"m","m"
"16",1396895760,-337,11,"l","h"
"17",1396899360,-151,6,"m","m"
"18",1396902960,-345,2,"l","m"
"19",1396906560,-406,4,"l","m"
"20",1396910160,-283,3,"m","m"
"21",1396913760,-290,8,"m","h"
"22",1396917360,-451,3,"l","m"
"23",1396920960,-356,9,"l","h"
"24",1396924560,-317,7,"m","h"
"25",1396928160,-277,1,"m","l"
"26",1396931760,-235,5,"m","m"
"27",1396935360,-115,1,"m","l"
"28",1396938960,-62,4,"m","m"
"29",1396942560,-20,1,"h","l"
"30",1396946160,-9,0,"h","l"
"31",1396949760,-33,2,"m","m"
"32",1396953360,-79,1,"m","l"
"33",1396956960,-33,5,"m","m"
"34",1396960560,-190,4,"m","m"
"35",1396964160,-228,6,"m","m"
"36",1396967760,-253,8,"m","h"
"37",1396971360,-146,5,"m","m"
"38",1396974960,-164,3,"m","m"
"39",1396978560,-158,5,"m","m"
"40",1396982160,-216,7,"m","h"
"41",1396985760,-154,10,"m","h"
"42",1396989360,-127,4,"m","m"
"43",1396992960,-152,2,"m","m"
"44",1396996560,-196,7,"m","h"
"45",1397000160,-388,7,"l","h"
"46",1397003760,0,6,"h","m"
"47",1397007360,-208,9,"m","h"
"48",1397010960,-330,7,"l","h"
"49",1397014560,-189,6,"m","m"
"50",1397018160,-228,2,"m","m"
"51",1397021760,-169,2,"m","m"
"52",1397025360,-101,1,"m","l"
"53",1397028960,-11,1,"h","l"
"54",1397032560,-36,0,"m","l"
"55",1397036160,-16,0,"h","l"
"56",1397039760,-23,0,"h","l"
"57",1397043360,-26,4,"h","m"
"58",1397046960,-229,6,"m","m"
"59",1397050560,-61,8,"m","h"
"60",1397054160,0,2,"h","m"
"61",1397057760,0,6,"h","m"
"62",1397061360,0,12,"h","h"
"63",1397064960,0,9,"h","h"
"64",1397068560,0,3,"h","m"
"65",1397072160,0,7,"h","h"
"66",1397075760,0,8,"h","h"
"67",1397079360,0,12,"h","h"
"68",1397082960,0,7,"h","h"
"69",1397086560,0,4,"h","m"
"70",1397090160,0,10,"h","h"
"71",1397093760,0,7,"h","h"
"72",1397097360,0,4,"h","m"
"73",1397100960,0,4,"h","m"
"74",1397104560,0,3,"h","m"
"75",1397108160,0,2,"h","m"
"76",1397111760,0,2,"h","m"
"77",1397115360,0,1,"h","l"
"78",1397118960,0,0,"h","l"
"79",1397122560,0,1,"h","l"
"80",1397126160,0,0,"h","l"
"81",1397129760,0,1,"h","l"
"82",1397133360,0,5,"h","m"
"83",1397136960,0,5,"h","m"
"84",1397140560,0,3,"h","m"
"85",1397144160,0,4,"h","m"
"86",1397147760,0,6,"h","m"
"87",1397151360,-107,5,"m","m"
"88",1397154960,-240,2,"m","m"
"89",1397158560,-467,8,"l","h"
"90",1397162160,-293,6,"m","m"
"91",1397165760,-313,7,"m","h"
"92",1397169360,-433,11,"l","h"
"93",1397172960,-444,4,"l","m"
"94",1397176560,-594,5,"l","m"
"95",1397180160,-1008,10,"l","h"
"96",1397183760,-1339,7,"l","h"
"97",1397187360,-573,7,"l","h"
"98",1397190960,-339,3,"l","m"
"99",1397194560,-110,6,"m","m"
"100",1397198160,-8,2,"h","m"
"101",1397201760,-16,3,"h","m"
"102",1397205360,41,2,"h","m"
"103",1397208960,-51,2,"m","m"
"104",1397212560,-41,4,"m","m"
"105",1397216160,-152,4,"m","m"
"106",1397219760,-370,3,"l","m"
"107",1397223360,-129,5,"m","m"
"108",1397226960,-337,5,"l","m"
"109",1397230560,-273,6,"m","m"
"110",1397234160,-233,4,"m","m"
"111",1397237760,-93,2,"m","m"
"112",1397241360,-123,5,"m","m"
"113",1397244960,-327,2,"l","m"
"114",1397248560,-228,6,"m","m"
"115",1397252160,-142,5,"m","m"
"116",1397255760,-268,7,"m","h"
"117",1397259360,-197,3,"m","m"
"118",1397262960,-360,8,"l","h"
"119",1397266560,-413,12,"l","h"
"120",1397270160,-414,4,"l","m"
"121",1397273760,-366,3,"l","m"
"122",1397277360,-320,4,"m","m"
"123",1397280960,-215,14,"m","h"
"124",1397284560,-72,7,"m","h"
"125",1397288160,-73,4,"m","m"
"126",1397291760,27,5,"h","m"
"127",1397295360,-38,5,"m","m"
"128",1397298960,24,3,"h","m"
"129",1397302560,-143,1,"m","l"
"130",1397306160,-22,1,"h","l"
"131",1397309760,8,7,"h","h"
"132",1397313360,97,5,"h","m"
"133",1397316960,-188,2,"m","m"
"134",1397320560,-89,7,"m","h"
"135",1397324160,-9,8,"h","h"
"136",1397327760,53,3,"h","m"
"137",1397331360,-9,2,"h","m"
"138",1397334960,-94,7,"m","h"
"139",1397338560,-4,3,"h","m"
"140",1397342160,-3,5,"h","m"
"141",1397345760,-55,5,"m","m"
"142",1397349360,-238,4,"m","m"
"143",1397352960,-292,7,"m","h"
"144",1397356560,-304,7,"m","h"
"145",1397360160,-480,6,"l","m"
"146",1397363760,-446,9,"l","h"
"147",1397367360,-225,6,"m","m"
"148",1397370960,-268,9,"m","h"
"149",1397374560,-119,11,"m","h"
"150",1397378160,-35,2,"m","m"
"151",1397381760,-69,1,"m","l"
"152",1397385360,15,2,"h","m"
"153",1397388960,113,2,"h","m"
"154",1397392560,30,4,"h","m"
"155",1397396160,73,3,"h","m"
"156",1397399760,-222,3,"m","m"
"157",1397403360,-104,5,"m","m"
"158",1397406960,-115,2,"m","m"
"159",1397410560,-36,3,"m","m"
"160",1397414160,-65,0,"m","l"
"161",1397417760,-253,7,"m","h"
"162",1397421360,-179,4,"m","m"
"163",1397424960,-41,9,"m","h"
"164",1397428560,128,7,"h","h"
"165",1397432160,-315,8,"m","h"
"166",1397435760,-107,9,"m","h"
"167",1397439360,-435,9,"l","h"
"168",1397442960,-651,5,"l","m"
"169",1397446560,-533,6,"l","m"
"170",1397450160,-190,11,"m","h"
"171",1397453760,-144,3,"m","m"
"172",1397457360,-46,3,"m","m"
"173",1397460960,14,2,"h","m"
"174",1397464560,-41,1,"m","l"
"175",1397468160,-90,5,"m","m"
"176",1397471760,15,2,"h","m"
"177",1397475360,22,4,"h","m"
"178",1397478960,-214,2,"m","m"
"179",1397482560,-143,5,"m","m"
"180",1397486160,-289,5,"m","m"
"181",1397489760,-529,6,"l","m"
"182",1397493360,-278,7,"m","h"
"183",1397496960,-364,3,"l","m"
"184",1397500560,-301,3,"m","m"
"185",1397504160,-240,13,"m","h"
"186",1397507760,-60,6,"m","m"
"187",1397511360,-353,7,"l","h"
"188",1397514960,-171,5,"m","m"
"189",1397518560,-150,7,"m","h"
"190",1397522160,-481,6,"l","m"
"191",1397525760,-574,4,"l","m"
"192",1397529360,-478,9,"l","h"
"193",1397532960,-452,6,"l","m"
"194",1397536560,-389,5,"l","m"
"195",1397540160,-271,3,"m","m"
"196",1397543760,-173,3,"m","m"
"197",1397547360,-44,4,"m","m"
"198",1397550960,0,3,"h","m"
"199",1397554560,0,0,"h","l"
"200",1397558160,0,1,"h","l"
"201",1397561760,-3,2,"h","m"
"202",1397565360,-262,0,"m","l"
"203",1397568960,-197,6,"m","m"
"204",1397572560,-419,4,"l","m"
"205",1397576160,-509,6,"l","m"
"206",1397579760,-502,8,"l","h"
"207",1397583360,-561,6,"l","m"
"208",1397586960,-577,3,"l","m"
"209",1397590560,-448,2,"l","m"
"210",1397594160,-447,8,"l","h"
"211",1397597760,-539,3,"l","m"
"212",1397601360,-551,10,"l","h"
"213",1397604960,-737,8,"l","h"
"214",1397608560,-984,7,"l","h"
"215",1397612160,-455,1,"l","l"
"216",1397615760,-560,4,"l","m"
"217",1397619360,-567,5,"l","m"
"218",1397622960,-550,3,"l","m"
"219",1397626560,-310,3,"m","m"
"220",1397630160,-190,0,"m","l"
"221",1397633760,-91,2,"m","m"
"222",1397637360,-19,0,"h","l"
"223",1397640960,11,1,"h","l"
"224",1397644560,82,1,"h","l"
"225",1397648160,67,3,"h","m"
"226",1397651760,-70,3,"m","m"
"227",1397655360,-309,2,"m","m"
"228",1397658960,-366,4,"l","m"
"229",1397662560,-329,4,"l","m"
"230",1397666160,-388,4,"l","m"
"231",1397669760,-210,5,"m","m"
"232",1397673360,-140,7,"m","h"
"233",1397676960,-296,6,"m","m"
"234",1397680560,-499,6,"l","m"
"235",1397684160,-339,11,"l","h"
"236",1397687760,-562,8,"l","h"
"237",1397691360,-412,5,"l","m"
"238",1397694960,-350,6,"l","m"
"239",1397698560,-309,6,"m","m"
"240",1397702160,-766,8,"l","h"
"241",1397705760,-451,7,"l","h"
"242",1397709360,-438,5,"l","m"
"243",1397712960,-116,3,"m","m"
"244",1397716560,-149,2,"m","m"
"245",1397720160,-88,2,"m","m"
"246",1397723760,-88,0,"m","l"
"247",1397727360,16,0,"h","l"
"248",1397730960,11,2,"h","m"
"249",1397734560,-92,3,"m","m"
"250",1397738160,-177,4,"m","m"
"251",1397741760,-336,5,"l","m"
"252",1397745360,-337,3,"l","m"
"253",1397748960,-315,2,"m","m"
"254",1397752560,-191,7,"m","h"
"255",1397756160,-490,4,"l","m"
"256",1397759760,-319,3,"m","m"
"257",1397763360,-341,4,"l","m"
"258",1397766960,-125,7,"m","h"
"259",1397770560,-376,12,"l","h"
"260",1397774160,-276,13,"m","h"
"261",1397777760,-115,5,"m","m"
"262",1397781360,-573,9,"l","h"
"263",1397784960,-1348,13,"l","h"
"264",1397788560,-1142,7,"l","h"
"265",1397792160,-621,2,"l","m"
"266",1397795760,-512,6,"l","m"
"267",1397799360,-385,1,"l","l"
"268",1397802960,-148,2,"m","m"
"269",1397806560,-107,1,"m","l"
"270",1397810160,-24,2,"h","m"
"271",1397813760,-12,1,"h","l"
"272",1397817360,-24,0,"h","l"
"273",1397820960,-39,3,"m","m"
"274",1397824560,130,0,"h","l"
"275",1397828160,-115,1,"m","l"
"276",1397831760,-214,3,"m","m"
"277",1397835360,-152,3,"m","m"
"278",1397838960,-225,6,"m","m"
"279",1397842560,-151,8,"m","h"
"280",1397846160,-370,3,"l","m"
"281",1397849760,-329,9,"l","h"
"282",1397853360,-266,1,"m","l"
"283",1397856960,-183,12,"m","h"
"284",1397860560,-96,9,"m","h"
"285",1397864160,-257,12,"m","h"
"286",1397867760,-163,11,"m","h"
"287",1397871360,-244,7,"m","h"
"288",1397874960,-149,4,"m","m"
"289",1397878560,-460,3,"l","m"
"290",1397882160,-450,15,"l","h"
"291",1397885760,-328,8,"l","h"
"292",1397889360,-290,7,"m","h"
"293",1397892960,-114,1,"m","l"
"294",1397896560,-30,3,"h","m"
"295",1397900160,-6,3,"h","m"
"296",1397903760,33,4,"h","m"
"297",1397907360,103,2,"h","m"
"298",1397910960,146,2,"h","m"
"299",1397914560,29,3,"h","m"
"300",1397918160,-251,3,"m","m"
"301",1397921760,-248,1,"m","l"
"302",1397925360,-143,2,"m","m"
"303",1397928960,-107,7,"m","h"
"304",1397932560,-171,3,"m","m"
"305",1397936160,51,8,"h","h"
"306",1397939760,-79,7,"m","h"
"307",1397943360,546,6,"h","m"
"308",1397946960,-210,12,"m","h"
"309",1397950560,-243,4,"m","m"
"310",1397954160,-241,5,"m","m"
"311",1397957760,-403,5,"l","m"
"312",1397961360,-643,7,"l","h"
"313",1397964960,-496,5,"l","m"
"314",1397968560,-294,5,"m","m"
"315",1397972160,-365,5,"l","m"
"316",1397975760,-324,2,"m","m"
"317",1397979360,-147,6,"m","m"
"318",1397982960,-67,4,"m","m"
"319",1397986560,-13,0,"h","l"
"320",1397990160,10,0,"h","l"
"321",1397993760,128,2,"h","m"
"322",1397997360,155,3,"h","m"
"323",1398000960,149,3,"h","m"
"324",1398004560,-57,6,"m","m"
"325",1398008160,-7,4,"h","m"
"326",1398011760,-97,6,"m","m"
"327",1398015360,-293,2,"m","m"
"328",1398018960,45,3,"h","m"
"329",1398022560,-57,4,"m","m"
"330",1398026160,-207,13,"m","h"
"331",1398029760,-103,5,"m","m"
"332",1398033360,-133,4,"m","m"
"333",1398036960,-301,2,"m","m"
"334",1398040560,-365,8,"l","h"
"335",1398044160,-565,10,"l","h"
"336",1398047760,-835,4,"l","m"
"337",1398051360,-417,3,"l","m"
"338",1398054960,-422,4,"l","m"
"339",1398058560,-201,3,"m","m"
"340",1398062160,-142,3,"m","m"
"341",1398065760,-77,1,"m","l"
"342",1398069360,-28,2,"h","m"
"343",1398072960,-64,1,"m","l"
"344",1398076560,-77,2,"m","m"
"345",1398080160,35,4,"h","m"
"346",1398083760,28,6,"h","m"
"347",1398087360,-187,4,"m","m"
"348",1398090960,-175,7,"m","h"
"349",1398094560,-211,5,"m","m"
"350",1398098160,-170,8,"m","h"
"351",1398101760,-313,2,"m","m"
"352",1398105360,-231,6,"m","m"
"353",1398108960,-304,2,"m","m"
"354",1398112560,-60,6,"m","m"
"355",1398116160,-323,5,"m","m"
"356",1398119760,-157,11,"m","h"
"357",1398123360,-527,7,"l","h"
"358",1398126960,-634,9,"l","h"
"359",1398130560,-858,3,"l","m"
"360",1398134160,-750,4,"l","m"
"361",1398137760,-656,3,"l","m"
"362",1398141360,-336,6,"l","m"
"363",1398144960,-159,2,"m","m"
"364",1398148560,-29,0,"h","l"
"365",1398152160,31,3,"h","m"
"366",1398155760,-8,1,"h","l"
"367",1398159360,-45,1,"m","l"
"368",1398162960,-168,2,"m","m"
"369",1398166560,-192,1,"m","l"
"370",1398170160,-220,2,"m","m"
"371",1398173760,-265,4,"m","m"
"372",1398177360,-169,4,"m","m"
"373",1398180960,-323,4,"m","m"
"374",1398184560,-237,4,"m","m"
"375",1398188160,-218,5,"m","m"
"376",1398191760,-423,9,"l","h"
"377",1398195360,-266,8,"m","h"
"378",1398198960,-290,9,"m","h"
"379",1398202560,-281,8,"m","h"
"380",1398206160,-274,5,"m","m"
"381",1398209760,-438,7,"l","h"
"382",1398213360,-689,4,"l","m"
"383",1398216960,-653,9,"l","h"
"384",1398220560,-743,5,"l","m"
"385",1398224160,-592,7,"l","h"
"386",1398227760,-367,1,"l","l"
"387",1398231360,-187,2,"m","m"
"388",1398234960,-90,2,"m","m"
"389",1398238560,-148,2,"m","m"
"390",1398242160,-16,2,"h","m"
"391",1398245760,-19,2,"h","m"
"392",1398249360,-33,1,"m","l"
"393",1398252960,-282,2,"m","m"
"394",1398256560,-155,2,"m","m"
"395",1398260160,-483,3,"l","m"
"396",1398263760,-235,12,"m","h"
"397",1398267360,-248,5,"m","m"
"398",1398270960,-208,6,"m","m"
"399",1398274560,-340,6,"l","m"
"400",1398278160,-265,7,"m","h"
"401",1398281760,-339,8,"l","h"
"402",1398285360,-190,10,"m","h"
"403",1398288960,-368,5,"l","m"
"404",1398292560,-284,10,"m","h"
"405",1398296160,-291,5,"m","m"
"406",1398299760,-425,7,"l","h"
"407",1398303360,0,6,"h","m"
"408",1398306960,-592,5,"l","m"
"409",1398310560,-31,6,"h","m"
"410",1398314160,0,5,"h","m"
"411",1398317760,0,1,"h","l"
"412",1398321360,0,2,"h","m"
"413",1398324960,0,2,"h","m"
"414",1398328560,0,1,"h","l"
"415",1398332160,-26,0,"h","l"
"416",1398335760,12,1,"h","l"
"417",1398339360,-128,4,"m","m"
"418",1398342960,-152,9,"m","h"
"419",1398346560,-262,1,"m","l"
"420",1398350160,-163,3,"m","m"
"421",1398353760,-79,1,"m","l"
"422",1398357360,-28,3,"h","m"
"423",1398360960,-119,3,"m","m"
"424",1398364560,-251,2,"m","m"
"425",1398368160,-296,4,"m","m"
"426",1398371760,-283,5,"m","m"
"427",1398375360,-196,7,"m","h"
"428",1398378960,-213,3,"m","m"
"429",1398382560,-325,5,"l","m"
"430",1398386160,-359,8,"l","h"
"431",1398389760,-556,6,"l","m"
"432",1398393360,-843,10,"l","h"
"433",1398396960,-232,1,"m","l"
"434",1398400560,-194,4,"m","m"
"435",1398404160,-180,4,"m","m"
"436",1398407760,-140,3,"m","m"
"437",1398411360,-13,3,"h","m"
"438",1398414960,-25,2,"h","m"
"439",1398418560,61,2,"h","m"
"440",1398422160,-31,2,"h","m"
"441",1398425760,-79,2,"m","m"
"442",1398429360,-185,5,"m","m"
"443",1398432960,-61,1,"m","l"
"444",1398436560,-167,3,"m","m"
"445",1398440160,-176,2,"m","m"
"446",1398443760,-243,5,"m","m"
"447",1398447360,-325,2,"l","m"
"448",1398450960,-267,4,"m","m"
"449",1398454560,-306,5,"m","m"
"450",1398458160,-245,4,"m","m"
"451",1398461760,-102,9,"m","h"
"452",1398465360,-308,5,"m","m"
"453",1398468960,-420,2,"l","m"
"454",1398472560,-445,5,"l","m"
"455",1398476160,-479,4,"l","m"
"456",1398479760,-578,6,"l","m"
"457",1398483360,-208,7,"m","h"
"458",1398486960,-410,7,"l","h"
"459",1398490560,-352,3,"l","m"
"460",1398494160,-201,3,"m","m"
"461",1398497760,-123,1,"m","l"
"462",1398501360,-104,2,"m","m"
"463",1398504960,37,1,"h","l"
"464",1398508560,44,1,"h","l"
"465",1398512160,106,1,"h","l"
"466",1398515760,303,0,"h","l"
"467",1398519360,19,2,"h","m"
"468",1398522960,-6,1,"h","l"
"469",1398526560,-93,6,"m","m"
"470",1398530160,-232,2,"m","m"
"471",1398533760,-192,1,"m","l"
"472",1398537360,92,2,"h","m"
"473",1398540960,0,0,"h","l"
