"","ctime","intertime","cwma","ratecat"
"1137",1396941300,0,812.903225806452,"l"
"1138",1396945339,4039,914.161290322581,"h"
"1139",1396951200,5861,1050.96774193548,"h"
"1140",1396952700,1500,1093.54838709677,"h"
"1141",1396954800,2100,1110.96774193548,"h"
"1142",1396958400,3600,1200,"h"
"1143",1396958400,0,1180.64516129032,"l"
"1144",1396959600,1200,1200,"m"
"1145",1396960200,600,1200,"m"
"1146",1396960200,0,1186.45161290323,"l"
"1147",1396960980,780,1186.45161290323,"m"
"1148",1396962000,1020,1219.35483870968,"m"
"1149",1396962000,0,1219.35483870968,"l"
"1150",1396963800,1800,1277.41935483871,"h"
"1151",1396964700,900,1267.74193548387,"m"
"1152",1396965600,900,1277.41935483871,"m"
"1153",1396965600,0,1277.41935483871,"l"
"1154",1396966140,540,1294.83870967742,"m"
"1155",1396967400,1260,1335.48387096774,"h"
"1156",1396967580,180,1341.29032258065,"m"
"1157",1396968000,420,1316.12903225806,"m"
"1158",1396969200,1200,1277.41935483871,"m"
"1159",1396969200,0,1161.29032258065,"l"
"1160",1396969200,0,1161.29032258065,"l"
"1161",1396970400,1200,1198.06451612903,"m"
"1162",1396970580,180,1147.74193548387,"m"
"1163",1396971000,420,1155.48387096774,"m"
"1164",1396971300,300,1112.90322580645,"m"
"1165",1396971900,600,1060.64516129032,"m"
"1166",1396972800,900,1074.1935483871,"m"
"1167",1396972800,0,1016.12903225806,"l"
"1168",1396974000,1200,1054.83870967742,"m"
"1169",1396974000,0,924.548387096774,"l"
"1170",1396976400,2400,812.903225806452,"h"
"1171",1396976400,0,764.516129032258,"l"
"1172",1396978200,1800,754.838709677419,"h"
"1173",1396980000,1800,696.774193548387,"h"
"1174",1396980540,540,714.193548387097,"m"
"1175",1396981440,900,704.516129032258,"m"
"1176",1396981440,0,685.161290322581,"l"
"1177",1396981800,360,696.774193548387,"m"
"1178",1396982700,900,700.645161290323,"m"
"1179",1396983600,900,696.774193548387,"m"
"1180",1396984500,900,725.806451612903,"m"
"1181",1396984680,180,673.548387096774,"m"
"1182",1396985100,420,658.064516129032,"m"
"1183",1396985400,300,638.709677419355,"m"
"1184",1396985640,240,646.451612903226,"m"
"1185",1396987042,1402,674.258064516129,"h"
"1186",1396987200,158,638.709677419355,"m"
"1187",1396987200,0,632.903225806452,"l"
"1188",1396987200,0,619.354838709677,"l"
"1189",1396987200,0,580.645161290323,"l"
"1190",1396987200,0,580.645161290323,"l"
"1191",1396987200,0,580.645161290323,"l"
"1192",1396987500,300,551.612903225806,"m"
"1193",1396987800,300,555.483870967742,"m"
"1194",1396988700,900,570.967741935484,"m"
"1195",1396990800,2100,629.032258064516,"h"
"1196",1396992600,1800,667.741935483871,"h"
"1197",1396992600,0,638.709677419355,"l"
"1198",1396992600,0,638.709677419355,"l"
"1199",1396993500,900,629.032258064516,"m"
"1200",1396996200,2700,716.129032258065,"h"
"1201",1396997100,900,667.741935483871,"m"
"1202",1396998000,900,696.774193548387,"m"
"1203",1396998900,900,667.741935483871,"m"
"1204",1396999500,600,629.032258064516,"m"
"1205",1396999800,300,621.290322580645,"m"
"1206",1396999800,0,592.258064516129,"l"
"1207",1396999980,180,598.064516129032,"m"
"1208",1397001240,1260,627.096774193548,"h"
"1209",1397001600,360,609.677419354839,"m"
"1210",1397001600,0,580.645161290323,"l"
"1211",1397001600,0,551.612903225806,"l"
"1212",1397002500,900,574.838709677419,"m"
"1213",1397003400,900,590.322580645161,"m"
"1214",1397003400,0,580.645161290323,"l"
"1215",1397005200,1800,630.967741935484,"h"
"1216",1397005200,0,585.741935483871,"l"
"1217",1397005200,0,580.645161290323,"l"
"1218",1397005200,0,580.645161290323,"l"
"1219",1397005800,600,600,"m"
"1220",1397007000,1200,638.709677419355,"m"
"1221",1397008800,1800,696.774193548387,"h"
"1222",1397008800,0,696.774193548387,"l"
"1223",1397008800,0,687.096774193548,"l"
"1224",1397008800,0,677.41935483871,"l"
"1225",1397008800,0,648.387096774194,"l"
"1226",1397009100,300,590.322580645161,"m"
"1227",1397010600,1500,580.645161290323,"h"
"1228",1397010600,0,580.645161290323,"l"
"1229",1397010600,0,580.645161290323,"l"
"1230",1397011620,1020,584.516129032258,"m"
"1231",1397012400,780,522.58064516129,"m"
"1232",1397012400,0,493.548387096774,"l"
"1233",1397012400,0,464.516129032258,"l"
"1234",1397012400,0,435.483870967742,"l"
"1235",1397014200,1800,474.193548387097,"h"
"1236",1397014200,0,464.516129032258,"l"
"1237",1397015100,900,493.548387096774,"m"
"1238",1397016000,900,516.774193548387,"m"
"1239",1397016000,0,476.129032258065,"l"
"1240",1397016360,360,476.129032258065,"m"
"1241",1397017800,1440,522.58064516129,"h"
"1242",1397018100,300,532.258064516129,"m"
"1243",1397019600,1500,551.612903225806,"h"
"1244",1397021400,1800,580.645161290323,"h"
"1245",1397022300,900,609.677419354839,"m"
"1246",1397023200,900,580.645161290323,"m"
"1247",1397027880,4680,731.612903225806,"h"
"1248",1397032200,4320,870.967741935484,"h"
"1249",1397043900,11700,1248.38709677419,"h"
"1250",1397043900,0,1229.03225806452,"l"
"1251",1397044800,900,1219.35483870968,"m"
"1252",1397045700,900,1190.32258064516,"m"
"1253",1397048400,2700,1277.41935483871,"h"
"1254",1397048400,0,1277.41935483871,"l"
"1255",1397049000,600,1296.77419354839,"m"
"1256",1397049000,0,1296.77419354839,"l"
"1257",1397049000,0,1287.09677419355,"l"
"1258",1397049000,0,1238.70967741935,"l"
"1259",1397052000,3000,1335.48387096774,"h"
"1260",1397052000,0,1335.48387096774,"l"
"1261",1397052000,0,1302.58064516129,"l"
"1262",1397052000,0,1277.41935483871,"l"
"1263",1397052900,900,1306.45161290323,"m"
"1264",1397053800,900,1335.48387096774,"m"
"1265",1397053800,0,1335.48387096774,"l"
"1266",1397053800,0,1277.41935483871,"l"
"1267",1397054700,900,1306.45161290323,"m"
"1268",1397057400,2700,1364.51612903226,"h"
"1269",1397058300,900,1364.51612903226,"m"
"1270",1397058300,0,1364.51612903226,"l"
"1271",1397058900,600,1372.25806451613,"m"
"1272",1397058900,0,1325.8064516129,"l"
"1273",1397061000,2100,1383.87096774194,"h"
"1274",1397061000,0,1335.48387096774,"l"
"1275",1397062200,1200,1316.12903225806,"m"
"1276",1397062200,0,1287.09677419355,"l"
"1277",1397062800,600,1277.41935483871,"m"
"1278",1397062800,0,1126.45161290323,"l"
