"time","sent"
1397227080.27,"m"
1397227977.71,"m"
1397228068.91,"l"
1397228807.26,"m"
1397228884.34,"h"
1397229617.54,"m"
1397230560.42,"m"
1397231423.04,"m"
1397231836.79,"h"
1397232124.29,"l"
1397232425.51,"m"
1397233281.88,"m"
1397234155.76,"m"
1397235032.48,"h"
1397235050.42,"m"
1397236030.99,"m"
1397236813.94,"l"
1397236913.98,"m"
1397237825.43,"m"
1397238276.14,"h"
1397238755.93,"m"
1397239746.93,"m"
1397240558.68,"m"
1397241357.28,"h"
1397241358.42,"l"
1397241454.56,"m"
1397242414.03,"m"
1397243226.16,"m"
1397243928.85,"h"
1397244005.54,"m"
1397244903.27,"m"
1397245770.49,"m"
1397245802.47,"l"
1397246528.83,"m"
1397247222.06,"h"
1397247383.92,"m"
1397248340.01,"m"
1397249250.23,"m"
1397250127.08,"m"
1397250235.51,"l"
1397250541.36,"h"
1397251050.61,"m"
1397251917.57,"m"
1397252909.46,"m"
1397253818.66,"m"
1397253819.69,"h"
1397254703.59,"m"
1397254813.77,"l"
1397255559.25,"m"
1397256241.66,"m"
1397257049.03,"h"
1397257076.53,"m"
1397257911.66,"m"
1397258722.82,"m"
1397259376.15,"l"
1397259535.46,"m"
1397259997.02,"h"
1397260227.09,"m"
1397260982.41,"m"
1397261637.28,"m"
1397262257.23,"m"
1397262288.26,"h"
1397262872.68,"m"
1397262988.18,"l"
1397263504.5,"m"
1397264125.09,"m"
1397264633.35,"h"
1397264714.51,"m"
1397265265.48,"m"
1397265813.8,"m"
1397265940.31,"l"
1397266412.1,"m"
1397266512.87,"h"
1397267036.17,"m"
1397267672.51,"m"
1397268235.43,"m"
1397268545.87,"h"
1397268830.75,"l"
1397268840.34,"m"
1397269349.1,"m"
1397269861.65,"m"
1397270444.85,"m"
1397270614.11,"h"
1397271077.61,"m"
1397271705.34,"m"
1397271726.95,"l"
1397272354.27,"m"
1397272809.08,"h"
1397273117.67,"m"
1397273839.81,"m"
1397274633.42,"m"
1397274788.84,"l"
1397275393.12,"m"
1397275530.95,"h"
1397276209.88,"m"
1397277217.48,"m"
1397278286.51,"m"
1397279296.86,"h"
1397279411.33,"l"
1397279607.51,"m"
1397280921.96,"m"
1397282361.32,"m"
1397284507.47,"m"
1397286269.76,"h"
1397287493.29,"m"
1397290959.01,"l"
1397292859.43,"m"
1397300119.73,"m"
1397302644.1,"h"
1397302868.42,"m"
1397304898.77,"m"
1397306314.89,"m"
1397307286.76,"l"
1397307393.84,"m"
1397307415.46,"h"
1397308415.89,"m"
1397309447.44,"m"
1397310466.09,"m"
1397310517.7,"h"
1397311283.76,"m"
1397312064.57,"m"
1397312687.7,"l"
1397312908.75,"m"
1397313155.2,"h"
1397313705.54,"m"
1397314486.75,"m"
1397315253.02,"m"
1397315370.76,"h"
1397316020.76,"m"
1397316865.12,"m"
1397317033.03,"l"
1397317627.08,"m"
1397318062.23,"h"
1397318394.28,"m"
1397319143.44,"m"
1397319868.45,"m"
1397320664.61,"m"
1397320773.13,"h"
1397321248.12,"l"
1397321489.75,"m"
1397322151.38,"m"
1397322901.68,"m"
1397323323.31,"h"
1397323655.15,"m"
1397324357.01,"m"
1397324947.28,"l"
1397325118.23,"m"
1397325852.69,"m"
1397325874.09,"h"
1397326642.71,"m"
1397327503.18,"m"
1397328294.33,"m"
1397328396.81,"h"
1397329082.2,"l"
1397329242.33,"m"
1397330017.2,"m"
1397330863.74,"m"
1397331008.82,"h"
1397331680.69,"m"
1397332436,"m"
1397333232.37,"m"
1397333647.55,"l"
1397333888.06,"h"
1397334118.33,"m"
1397335042.48,"m"
1397336072.29,"m"
1397337112.96,"m"
1397337223.54,"h"
1397338142.37,"m"
1397338624.3,"l"
1397339215.28,"m"
1397340178.48,"m"
1397340348.1,"h"
1397341025.08,"m"
1397342029.4,"m"
1397342926.32,"m"
1397343288.67,"h"
1397343778.69,"m"
1397343825.69,"l"
1397344608.44,"m"
1397345442.38,"m"
1397346118.25,"m"
1397346164.53,"h"
1397347017.62,"m"
1397347867.33,"m"
1397348029.72,"l"
1397348701.79,"m"
1397348891.21,"h"
1397349578.44,"m"
1397350280.3,"m"
1397350965.99,"m"
1397351405.33,"h"
1397351642.36,"m"
1397351954.54,"l"
1397352280.54,"m"
1397352960.7,"m"
1397353567.86,"h"
1397353602.26,"m"
1397354186.69,"m"
1397354773.37,"m"
1397355210.77,"l"
1397355342.44,"m"
1397355756.09,"h"
1397355934.36,"m"
1397356611.44,"m"
1397357207.33,"m"
1397357786.13,"m"
1397357990.49,"h"
1397358380.32,"l"
1397358479.39,"m"
1397359200.3,"m"
1397359959.5,"m"
1397360461.71,"h"
1397360704.89,"m"
1397361370.4,"m"
1397361871.08,"l"
1397362069.09,"m"
1397362725.81,"m"
1397363306.65,"h"
1397363452.35,"m"
1397364270.02,"m"
1397365073.76,"m"
1397365554.16,"l"
1397366044.9,"m"
1397366905.47,"h"
1397367102.86,"m"
1397368332.44,"m"
1397369891.81,"m"
1397371830,"m"
1397371930.65,"l"
1397374734.22,"m"
1397374780.4,"h"
1397378398.26,"m"
1397385904.9,"m"
1397390789.67,"m"
1397391468.94,"h"
1397392545.24,"l"
1397392961.86,"m"
1397394342.66,"m"
1397395581.44,"m"
1397395914.07,"h"
1397396743.32,"m"
1397397687.44,"m"
1397398606.57,"m"
1397398638.1,"h"
1397398736.71,"l"
1397399448.65,"m"
1397400213.23,"m"
1397400918.71,"m"
1397401183.46,"h"
1397401661.4,"m"
1397402474.26,"m"
1397402876.44,"l"
1397403209.5,"m"
1397403815.84,"h"
1397404020.1,"m"
1397404754.64,"m"
1397405503.5,"m"
1397406184.88,"m"
1397406374.4,"h"
1397406955.04,"m"
1397407100.13,"l"
1397407655.99,"m"
1397408386.28,"m"
1397409063.82,"h"
1397409077.74,"m"
1397409758.66,"m"
1397410397.87,"m"
1397411051.31,"l"
1397411103.32,"m"
1397411489.54,"h"
1397411759.83,"m"
1397412496.71,"m"
1397413267.49,"m"
1397413852.53,"h"
1397414064.78,"m"
1397414610.06,"l"
1397414849.58,"m"
1397416264.3,"m"
1397417366.5,"h"
1397417534.32,"m"
1397418468.6,"m"
1397419315.94,"m"
1397419590.98,"l"
1397420045.88,"h"
1397420232.23,"m"
1397421170.92,"m"
1397422012.03,"m"
1397422646.01,"h"
1397422922.47,"m"
1397423352.69,"l"
1397423853.98,"m"
1397424779.05,"m"
1397425546.23,"m"
1397425626.91,"h"
1397426334.81,"m"
1397427262.97,"m"
1397427563.76,"l"
1397428207.68,"m"
1397428317.65,"h"
1397429090.07,"m"
1397429853.46,"m"
1397430668.52,"h"
1397430706.04,"m"
1397431435.04,"l"
1397431518.98,"m"
1397432334.62,"m"
1397433122.01,"m"
1397433185.87,"h"
1397433864.49,"m"
1397434517.42,"m"
1397435017.24,"l"
1397435199.32,"m"
1397435312.48,"h"
1397435804.02,"m"
1397436362.57,"m"
1397436932.88,"m"
1397437097.17,"h"
1397437455.55,"l"
1397437517.02,"m"
1397438135.1,"m"
1397438557.69,"h"
1397438628.39,"m"
1397439127,"m"
1397439633.33,"m"
1397439761.3,"l"
1397440142.05,"m"
1397440176.91,"h"
1397440581.49,"m"
1397441055.29,"m"
1397441472.92,"m"
1397441569.46,"h"
1397441852.87,"l"
1397441930.88,"m"
1397442445.6,"m"
1397442905.61,"m"
1397443171.53,"h"
1397443390.73,"m"
1397443907.38,"m"
1397444002.15,"l"
1397444469.6,"m"
1397445036.62,"m"
1397445116.69,"h"
1397445556.03,"m"
1397446179.68,"m"
1397446571.29,"l"
1397446851.8,"m"
1397447369.21,"h"
1397447610.02,"m"
1397448320.78,"m"
1397449151.16,"m"
1397450025.85,"l"
1397450071.88,"m"
1397450282.75,"h"
1397451147.51,"m"
1397452468.82,"m"
1397454103.75,"m"
1397455781.46,"h"
1397456331.8,"m"
1397458321.49,"l"
1397460726.99,"m"
1397469398.03,"m"
1397473368.68,"h"
1397473426.76,"m"
1397475731.39,"m"
1397477407.76,"l"
1397477759.18,"m"
1397478886.34,"h"
1397479600.9,"m"
1397481107.65,"m"
1397482392.72,"m"
1397482939.85,"h"
1397483422.22,"m"
1397483706.34,"l"
1397484430.22,"m"
1397485428.25,"m"
1397486253.89,"h"
1397486431.87,"m"
1397487377.08,"m"
1397487987.32,"l"
1397488343.55,"m"
1397489309.42,"h"
1397489437.54,"m"
1397490308.54,"m"
1397491309.09,"m"
1397491601.49,"l"
1397492243.73,"m"
1397492786.09,"h"
1397493118.98,"m"
1397494058.38,"m"
1397495043.15,"m"
1397495624.1,"l"
1397495894.19,"h"
1397496019.9,"m"
1397497059.04,"m"
1397498061.62,"m"
1397499180.21,"m"
1397499411.2,"h"
1397500091.66,"m"
1397500154.64,"l"
1397501126.09,"m"
1397502196.72,"m"
1397503115.6,"h"
1397503158.89,"m"
1397504255.76,"m"
1397504468.15,"l"
1397505129.74,"m"
1397506081.22,"m"
1397506082.46,"h"
1397507030.77,"m"
1397508021.99,"m"
1397511713.43,"l"
1397511947.65,"m"
1397512139.9,"h"
1397512694.42,"m"
1397513601.77,"m"
1397514395.11,"m"
1397514981.08,"h"
1397515192.2,"m"
1397515478.07,"l"
1397516004.24,"m"
1397516831.56,"m"
1397517500.09,"m"
1397517607.34,"h"
1397518169.57,"m"
1397518865.48,"m"
1397519364.21,"l"
1397519504.66,"m"
1397519871.74,"h"
1397520218.9,"m"
1397520750.92,"m"
1397521418.62,"m"
1397521894.2,"h"
1397522050.15,"m"
1397522271.5,"l"
1397522633.11,"m"
1397523128.43,"m"
1397523551.04,"h"
1397523628.03,"m"
1397524182.74,"m"
1397524691.64,"l"
1397524731.55,"m"
1397525232.14,"m"
1397525270.85,"h"
1397525800.58,"m"
1397526316.42,"m"
1397526771.02,"m"
1397526802.06,"h"
1397526881.33,"l"
1397527172.07,"m"
1397527680.04,"m"
1397528091.73,"h"
1397528162.78,"m"
1397528619.02,"m"
1397528719.67,"l"
1397529129.47,"m"
1397529612.69,"m"
1397529688.02,"h"
1397530118.79,"m"
1397530621.1,"m"
1397530989.34,"l"
1397531147.89,"m"
1397531433.04,"h"
1397531692.07,"m"
1397532299.76,"m"
1397532900.08,"m"
1397533607.18,"m"
1397533705.44,"l"
1397533754.12,"h"
1397534346.55,"m"
1397535103.82,"m"
1397535987.54,"m"
1397536316.3,"h"
1397537037.11,"m"
1397537327.45,"l"
1397538139.21,"m"
1397539350.86,"m"
1397540770.32,"h"
1397540781.15,"m"
1397542724.43,"m"
1397544238.03,"l"
1397545393.88,"m"
1397565154.05,"m"
1397566139.79,"h"
1397566735.65,"m"
1397567797.8,"m"
1397568122.36,"l"
1397568907.97,"m"
1397569558.56,"h"
1397570193.27,"m"
1397571121.19,"m"
1397572161.45,"m"
1397572363.97,"l"
1397572529.12,"h"
1397572984.24,"m"
1397573848.69,"m"
1397574643.44,"m"
1397575117.03,"h"
1397575453.19,"m"
1397575780.35,"l"
1397576293.79,"m"
1397577272.21,"m"
1397578200.87,"m"
1397578260.96,"h"
1397579167.59,"m"
1397579219.2,"l"
1397580065.44,"m"
1397580907.88,"m"
1397580949.55,"h"
1397581682.24,"m"
1397582428.64,"m"
1397582711.63,"l"
1397583294.53,"m"
1397583784.25,"h"
1397584056.61,"m"
1397584727.66,"m"
1397585478.62,"m"
1397586028.69,"l"
1397586321.9,"m"
1397586705.37,"h"
1397587105.71,"m"
1397587858.38,"m"
1397588744.86,"m"
1397589399.56,"l"
1397589430.01,"h"
1397589539.75,"m"
1397590264.16,"m"
1397591085.39,"m"
1397591921.34,"m"
1397592288.97,"h"
1397592640.67,"l"
1397592750.06,"m"
1397593481.69,"m"
1397594299.66,"m"
1397594954.44,"h"
1397595142.43,"m"
1397595900.65,"m"
1397596020.59,"l"
1397596655.52,"m"
1397597465.08,"m"
1397597607.89,"h"
1397598210.55,"m"
1397598882.87,"m"
1397599344.57,"l"
1397599535.66,"m"
1397600102.88,"h"
1397600264.45,"m"
1397601046.85,"m"
1397601772.16,"m"
1397602306.72,"h"
1397602322.4,"l"
1397602401.13,"m"
1397603088.48,"m"
1397603830.31,"m"
1397604464.74,"m"
1397604680.02,"h"
1397605093.5,"m"
1397605165.18,"l"
1397605705.48,"m"
1397606245.91,"m"
1397606608.64,"h"
1397606797.16,"m"
1397607289.5,"m"
1397607400.81,"l"
1397607742.26,"m"
1397608209.98,"m"
1397608330.93,"h"
1397608648.95,"m"
1397609047.56,"m"
1397609276.58,"l"
1397609479.62,"m"
1397609890.95,"m"
1397610052.18,"h"
1397610344.45,"m"
1397610815.17,"m"
1397611249.64,"m"
1397611257.65,"l"
1397611577.95,"h"
1397611659.2,"m"
1397612120.1,"m"
1397612563.28,"m"
1397613039.02,"m"
1397613284.26,"h"
1397613317.62,"l"
1397613541.34,"m"
1397613998.71,"m"
1397614516.78,"m"
1397614807.74,"h"
1397615041.35,"m"
1397615534.72,"l"
1397615566.85,"m"
1397616120.89,"m"
1397616440.65,"h"
1397616645.52,"m"
1397617167.11,"m"
1397617722.45,"m"
1397618144.7,"l"
1397618267.27,"h"
1397618284.21,"m"
1397618939.1,"m"
1397619566.63,"m"
1397620293.59,"m"
1397620428.9,"h"
1397620977.84,"l"
1397620995.77,"m"
1397621672.02,"m"
1397622569.04,"m"
1397623347.91,"h"
1397623586.47,"m"
1397624569.8,"m"
1397624570.21,"l"
1397625616.82,"m"
1397626831.09,"m"
1397627995.08,"h"
1397628858.3,"m"
1397630406.3,"l"
1397631058.82,"m"
1397636310.89,"m"
1397644313.79,"m"
1397645191.88,"h"
1397647435.24,"m"
1397649224.36,"l"
1397649581.24,"m"
1397650762.48,"h"
1397651330.63,"m"
1397652929.55,"m"
1397654467.59,"m"
1397654809.34,"h"
1397655665.05,"m"
1397656105.06,"l"
1397656667.99,"m"
1397657689.07,"m"
1397658085.85,"h"
1397658610.48,"m"
1397659563.74,"m"
1397659906.72,"l"
1397660460.22,"m"
1397660494.12,"h"
1397661245.43,"m"
1397662128.08,"m"
1397662946.81,"h"
1397662980.69,"m"
1397663422.5,"l"
1397663903,"m"
1397664802.2,"m"
1397665602.63,"h"
1397665814.26,"m"
1397666591.35,"m"
1397667248.51,"l"
1397667466.69,"m"
1397668410.61,"m"
1397668669.75,"h"
1397669262.71,"m"
1397670164.46,"m"
1397671100.43,"m"
1397671571.1,"l"
1397671930.18,"h"
1397672037.48,"m"
1397672973.31,"m"
1397673960.22,"m"
1397674979.79,"m"
1397675131.53,"h"
1397675980.1,"m"
1397676091.14,"l"
1397676980.02,"m"
1397677780.07,"m"
1397678105.52,"h"
1397678678.01,"m"
1397679629.01,"m"
1397680329.42,"l"
1397680623.99,"m"
1397681386.25,"h"
1397681646.12,"m"
1397682514.37,"m"
1397683194.9,"m"
1397684051.19,"l"
1397684069.33,"m"
1397684268.58,"h"
1397685016.14,"m"
1397685892,"m"
1397686815.26,"m"
1397687289.83,"h"
1397687692.39,"m"
1397687949.1,"l"
1397688521,"m"
1397689350.22,"m"
1397690209.5,"m"
1397690258.55,"h"
1397690972.04,"m"
1397691351.33,"l"
1397691685.63,"m"
1397692483.53,"m"
1397692771.22,"h"
1397693211.33,"m"
1397693918.6,"m"
1397694461.07,"l"
1397694581.77,"m"
1397694942.7,"h"
1397695212.49,"m"
1397695844.58,"m"
1397696419.07,"m"
1397696887.87,"h"
1397696997.9,"m"
1397697012.03,"l"
1397701208.58,"m"
1397701750.83,"m"
1397702288.57,"m"
1397702381.12,"h"
1397702789.35,"m"
1397702799.82,"l"
1397703335.65,"m"
1397703913.29,"m"
1397704384.03,"h"
1397704504.98,"m"
1397705087.79,"m"
1397705305.73,"l"
1397705739.1,"m"
1397706328.43,"m"
1397706576.66,"h"
1397707028.14,"m"
1397707618.15,"m"
1397708148.69,"l"
1397708362.02,"m"
1397709072.26,"h"
1397709157.24,"m"
1397710088.3,"m"
1397711171.71,"m"
1397712459.24,"l"
1397712545.12,"m"
1397713472.77,"h"
1397714207.2,"m"
1397716117.33,"m"
1397718808.08,"m"
1397725871.6,"m"
1397729341.82,"h"
1397729744.21,"l"
1397732285.88,"m"
1397735110.65,"m"
1397736966.78,"m"
1397737279.22,"h"
1397738721.77,"m"
1397739483.03,"l"
1397740059.99,"m"
1397741234.54,"h"
1397741373.56,"m"
1397742524.48,"m"
1397743721.41,"m"
1397744201.64,"l"
1397744377.68,"h"
1397744599.44,"m"
1397745469.72,"m"
1397746332.33,"m"
