"","c","t","cp","ip","diff.","c.1","t.1","cp.1","ip.1","diff.1","c.2","t.2","cp.2","ip.2","diff.2","c.3","t.3","cp.3","ip.3","diff.3","c.4","t.4","cp.4","ip.4","diff.4","c.5","t.5","cp.5","ip.5","diff.5","c.6","t.6","cp.6","ip.6","diff.6","c.7","t.7","cp.7","ip.7","diff.7","c.8","t.8","cp.8","ip.8","diff.8","c.9","t.9","cp.9","ip.9","diff.9","c.10","t.10","cp.10","ip.10","diff.10","c.11","t.11","cp.11","ip.11","diff.11","c.12","t.12","cp.12","ip.12","diff.12","c.13","t.13","cp.13","ip.13","diff.13","c.14","t.14","cp.14","ip.14","diff.14","c.15","t.15","cp.15","ip.15","diff.15","c.16","t.16","cp.16","ip.16","diff.16","c.17","t.17","cp.17","ip.17","diff.17","c.18","t.18","cp.18","ip.18","diff.18","c.19","t.19","cp.19","ip.19","diff.19","c.20","t.20","cp.20","ip.20","diff.20","c.21","t.21","cp.21","ip.21","diff.21","c.22","t.22","cp.22","ip.22","diff.22","c.23","t.23","cp.23","ip.23","diff.23","c.24","t.24","cp.24","ip.24","diff.24"
"1","l","l",0,0.184873949579832,-0.184873949579832,"l","l",0.172413793103448,0.176470588235294,-0.00405679513184584,"l","l",0.517241379310345,0.176470588235294,0.340770791075051,"l","l",0.172413793103448,0.176470588235294,-0.00405679513184584,"l","l",0.172413793103448,0.176470588235294,-0.00405679513184584,"l","l",0.0689655172413793,0.176470588235294,-0.107505070993915,"l","l",0,0.176470588235294,-0.176470588235294,"l","l",0.214285714285714,0.176470588235294,0.0378151260504202,"l","l",0.428571428571429,0.168067226890756,0.260504201680672,"l","l",0.214285714285714,0.168067226890756,0.046218487394958,"l","l",0.214285714285714,0.168067226890756,0.046218487394958,"l","l",0.0714285714285714,0.168067226890756,-0.0966386554621849,"l","l",0.037037037037037,0.168067226890756,-0.131030189853719,"l","l",0.259259259259259,0.168067226890756,0.0911920323685029,"l","l",0.444444444444444,0.159663865546218,0.284780578898226,"l","l",0.148148148148148,0.159663865546218,-0.0115157173980703,"l","l",0.296296296296296,0.159663865546218,0.136632430750078,"l","l",0.111111111111111,0.159663865546218,-0.0485527544351074,"l","l",0,0.159663865546218,-0.159663865546218,"l","l",0.230769230769231,0.159663865546218,0.0711053652230123,"l","l",0.5,0.151260504201681,0.348739495798319,"l","l",0.192307692307692,0.151260504201681,0.0410471881060117,"l","l",0.230769230769231,0.151260504201681,0.0795087265675501,"l","l",0.16,0.151260504201681,0.00873949579831934,"l","l",0,0.151260504201681,-0.151260504201681
"2","l","m",0.116666666666667,0.184873949579832,-0.0682072829131653,"l","m",0.166666666666667,0.176470588235294,-0.00980392156862744,"l","m",0.0508474576271186,0.176470588235294,-0.125623130608175,"l","m",0.203389830508475,0.176470588235294,0.0269192422731804,"l","m",0.254237288135593,0.176470588235294,0.0777666999002991,"l","m",0.258620689655172,0.176470588235294,0.0821501014198783,"l","m",0.172413793103448,0.176470588235294,-0.00405679513184584,"l","m",0.175438596491228,0.176470588235294,-0.00103199174406604,"l","m",0.125,0.168067226890756,-0.0430672268907563,"l","m",0.2,0.168067226890756,0.0319327731092437,"l","m",0.254545454545455,0.168067226890756,0.0864782276546982,"l","m",0.259259259259259,0.168067226890756,0.0911920323685029,"l","m",0.166666666666667,0.168067226890756,-0.00140056022408966,"l","m",0.169811320754717,0.168067226890756,0.00174409386396066,"l","m",0.0769230769230769,0.159663865546218,-0.0827407886231416,"l","m",0.235294117647059,0.159663865546218,0.0756302521008404,"l","m",0.196078431372549,0.159663865546218,0.0364145658263306,"l","m",0.235294117647059,0.159663865546218,0.0756302521008404,"l","m",0.196078431372549,0.159663865546218,0.0364145658263306,"l","m",0.2,0.159663865546218,0.0403361344537815,"l","m",0.0816326530612245,0.151260504201681,-0.0696278511404562,"l","m",0.208333333333333,0.151260504201681,0.0570728291316527,"l","m",0.234042553191489,0.151260504201681,0.0827820489898087,"l","m",0.170212765957447,0.151260504201681,0.0189522617557661,"l","m",0.170212765957447,0.151260504201681,0.0189522617557661
"3","l","h",0.5,0.184873949579832,0.315126050420168,"l","h",0.206896551724138,0.176470588235294,0.0304259634888438,"l","h",0.103448275862069,0.176470588235294,-0.0730223123732252,"l","h",0.142857142857143,0.176470588235294,-0.0336134453781513,"l","h",0.037037037037037,0.176470588235294,-0.139433551198257,"l","h",0.148148148148148,0.176470588235294,-0.028322440087146,"l","h",0.407407407407407,0.176470588235294,0.230936819172113,"l","h",0.185185185185185,0.176470588235294,0.00871459694989107,"l","h",0.037037037037037,0.168067226890756,-0.131030189853719,"l","h",0.111111111111111,0.168067226890756,-0.0569561157796452,"l","h",0,0.168067226890756,-0.168067226890756,"l","h",0.153846153846154,0.168067226890756,-0.0142210730446025,"l","h",0.384615384615385,0.168067226890756,0.216548157724628,"l","h",0.153846153846154,0.168067226890756,-0.0142210730446025,"l","h",0.115384615384615,0.159663865546218,-0.0442792501616031,"l","h",0.115384615384615,0.159663865546218,-0.0442792501616031,"l","h",0.04,0.159663865546218,-0.119663865546218,"l","h",0.166666666666667,0.159663865546218,0.00700280112044818,"l","h",0.375,0.159663865546218,0.215336134453781,"l","h",0.125,0.159663865546218,-0.0346638655462185,"l","h",0.0416666666666667,0.151260504201681,-0.109593837535014,"l","h",0.125,0.151260504201681,-0.0262605042016807,"l","h",0.0416666666666667,0.151260504201681,-0.109593837535014,"l","h",0.25,0.151260504201681,0.0987394957983193,"l","h",0.416666666666667,0.151260504201681,0.265406162464986
"4","m","l",0.551724137931034,0.579831932773109,-0.0281077948420748,"m","l",0.620689655172414,0.579831932773109,0.0408577223993045,"m","l",0.379310344827586,0.571428571428571,-0.192118226600985,"m","l",0.827586206896552,0.563025210084034,0.264560996812518,"m","l",0.620689655172414,0.563025210084034,0.0576644450883802,"m","l",0.586206896551724,0.554621848739496,0.0315850478122283,"m","l",0.607142857142857,0.554621848739496,0.0525210084033613,"m","l",0.464285714285714,0.546218487394958,-0.0819327731092436,"m","l",0.464285714285714,0.546218487394958,-0.0819327731092436,"m","l",0.75,0.53781512605042,0.21218487394958,"m","l",0.571428571428571,0.529411764705882,0.042016806722689,"m","l",0.5,0.521008403361345,-0.0210084033613446,"m","l",0.62962962962963,0.521008403361345,0.108621226268285,"m","l",0.481481481481482,0.512605042016807,-0.0311235605353252,"m","l",0.37037037037037,0.512605042016807,-0.142234671646436,"m","l",0.851851851851852,0.504201680672269,0.347650171179583,"m","l",0.555555555555556,0.504201680672269,0.0513538748832867,"m","l",0.407407407407407,0.504201680672269,-0.0967942732648615,"m","l",0.538461538461538,0.504201680672269,0.0342598577892695,"m","l",0.538461538461538,0.495798319327731,0.0426632191338073,"m","l",0.384615384615385,0.495798319327731,-0.111182934712346,"m","l",0.769230769230769,0.487394957983193,0.281835811247576,"m","l",0.576923076923077,0.478991596638655,0.0979314802844214,"m","l",0.48,0.478991596638655,0.0010084033613445,"m","l",0.625,0.478991596638655,0.146008403361345
"5","m","m",0.7,0.579831932773109,0.120168067226891,"m","m",0.5,0.579831932773109,-0.0798319327731093,"m","m",0.661016949152542,0.571428571428571,0.089588377723971,"m","m",0.491525423728814,0.563025210084034,-0.0714997863552201,"m","m",0.610169491525424,0.563025210084034,0.04714428144139,"m","m",0.551724137931034,0.554621848739496,-0.00289771080846135,"m","m",0.637931034482759,0.554621848739496,0.0833091857432628,"m","m",0.578947368421053,0.546218487394958,0.0327288810260947,"m","m",0.553571428571429,0.546218487394958,0.00735294117647067,"m","m",0.563636363636364,0.53781512605042,0.0258212375859435,"m","m",0.545454545454545,0.529411764705882,0.0160427807486631,"m","m",0.555555555555556,0.521008403361345,0.034547152194211,"m","m",0.592592592592593,0.521008403361345,0.071584189231248,"m","m",0.547169811320755,0.512605042016807,0.034564769303948,"m","m",0.634615384615385,0.512605042016807,0.122010342598578,"m","m",0.509803921568628,0.504201680672269,0.00560224089635863,"m","m",0.607843137254902,0.504201680672269,0.103641456582633,"m","m",0.627450980392157,0.504201680672269,0.123249299719888,"m","m",0.647058823529412,0.504201680672269,0.142857142857143,"m","m",0.52,0.495798319327731,0.0242016806722689,"m","m",0.63265306122449,0.495798319327731,0.136854741896759,"m","m",0.604166666666667,0.487394957983193,0.116771708683473,"m","m",0.574468085106383,0.478991596638655,0.0954764884677275,"m","m",0.680851063829787,0.478991596638655,0.201859467191132,"m","m",0.680851063829787,0.478991596638655,0.201859467191132
"6","m","h",0.366666666666667,0.579831932773109,-0.213165266106443,"m","h",0.724137931034483,0.579831932773109,0.144305998261374,"m","h",0.620689655172414,0.571428571428571,0.0492610837438424,"m","h",0.5,0.563025210084034,-0.0630252100840336,"m","h",0.481481481481482,0.563025210084034,-0.0815437286025521,"m","h",0.62962962962963,0.554621848739496,0.0750077808901338,"m","h",0.444444444444444,0.554621848739496,-0.110177404295051,"m","h",0.703703703703704,0.546218487394958,0.157485216308746,"m","h",0.777777777777778,0.546218487394958,0.23155929038282,"m","h",0.444444444444444,0.53781512605042,-0.0933706816059757,"m","h",0.653846153846154,0.529411764705882,0.124434389140271,"m","h",0.692307692307692,0.521008403361345,0.171299288946348,"m","h",0.5,0.521008403361345,-0.0210084033613446,"m","h",0.730769230769231,0.512605042016807,0.218164188752424,"m","h",0.692307692307692,0.512605042016807,0.179702650290886,"m","h",0.423076923076923,0.504201680672269,-0.0811247575953458,"m","h",0.56,0.504201680672269,0.055798319327731,"m","h",0.708333333333333,0.504201680672269,0.204131652661064,"m","h",0.541666666666667,0.504201680672269,0.0374649859943977,"m","h",0.791666666666667,0.495798319327731,0.295868347338936,"m","h",0.75,0.495798319327731,0.254201680672269,"m","h",0.375,0.487394957983193,-0.112394957983193,"m","h",0.625,0.478991596638655,0.146008403361345,"m","h",0.541666666666667,0.478991596638655,0.0626750700280111,"m","h",0.416666666666667,0.478991596638655,-0.0623249299719888
"7","h","l",0.448275862068966,0.235294117647059,0.212981744421907,"h","l",0.206896551724138,0.235294117647059,-0.0283975659229209,"h","l",0.103448275862069,0.235294117647059,-0.13184584178499,"h","l",0,0.235294117647059,-0.235294117647059,"h","l",0.206896551724138,0.226890756302521,-0.0199942045783831,"h","l",0.344827586206897,0.226890756302521,0.117936829904376,"h","l",0.392857142857143,0.218487394957983,0.17436974789916,"h","l",0.321428571428571,0.218487394957983,0.102941176470588,"h","l",0.107142857142857,0.218487394957983,-0.111344537815126,"h","l",0.0357142857142857,0.218487394957983,-0.182773109243697,"h","l",0.214285714285714,0.218487394957983,-0.00420168067226889,"h","l",0.428571428571429,0.218487394957983,0.210084033613445,"h","l",0.333333333333333,0.210084033613445,0.123249299719888,"h","l",0.259259259259259,0.210084033613445,0.0491752256458139,"h","l",0.185185185185185,0.210084033613445,-0.0248988484282602,"h","l",0,0.210084033613445,-0.210084033613445,"h","l",0.148148148148148,0.201680672268908,-0.0535325241207594,"h","l",0.481481481481482,0.19327731092437,0.288204170557112,"h","l",0.461538461538462,0.184873949579832,0.27666451195863,"h","l",0.230769230769231,0.184873949579832,0.0458952811893988,"h","l",0.115384615384615,0.184873949579832,-0.0694893341952166,"h","l",0.0384615384615385,0.184873949579832,-0.146412411118293,"h","l",0.192307692307692,0.184873949579832,0.00743374272786038,"h","l",0.36,0.176470588235294,0.183529411764706,"h","l",0.375,0.168067226890756,0.206932773109244
"8","h","m",0.183333333333333,0.235294117647059,-0.0519607843137255,"h","m",0.333333333333333,0.235294117647059,0.0980392156862746,"h","m",0.288135593220339,0.235294117647059,0.0528414755732801,"h","m",0.305084745762712,0.235294117647059,0.069790628115653,"h","m",0.135593220338983,0.226890756302521,-0.091297535963538,"h","m",0.189655172413793,0.226890756302521,-0.0372355838887279,"h","m",0.189655172413793,0.218487394957983,-0.0288322225441901,"h","m",0.245614035087719,0.218487394957983,0.0271266401297361,"h","m",0.321428571428571,0.218487394957983,0.102941176470588,"h","m",0.236363636363636,0.218487394957983,0.0178762414056532,"h","m",0.2,0.218487394957983,-0.0184873949579832,"h","m",0.185185185185185,0.218487394957983,-0.033302209772798,"h","m",0.240740740740741,0.210084033613445,0.0306567071272954,"h","m",0.283018867924528,0.210084033613445,0.0729348343110829,"h","m",0.288461538461538,0.210084033613445,0.0783775048480931,"h","m",0.254901960784314,0.210084033613445,0.0448179271708684,"h","m",0.196078431372549,0.201680672268908,-0.00560224089635852,"h","m",0.137254901960784,0.19327731092437,-0.0560224089635854,"h","m",0.156862745098039,0.184873949579832,-0.0280112044817927,"h","m",0.28,0.184873949579832,0.095126050420168,"h","m",0.285714285714286,0.184873949579832,0.100840336134454,"h","m",0.1875,0.184873949579832,0.00262605042016803,"h","m",0.191489361702128,0.184873949579832,0.00661541212229572,"h","m",0.148936170212766,0.176470588235294,-0.0275344180225282,"h","m",0.148936170212766,0.168067226890756,-0.0191310566779904
"9","h","h",0.133333333333333,0.235294117647059,-0.101960784313725,"h","h",0.0689655172413793,0.235294117647059,-0.16632860040568,"h","h",0.275862068965517,0.235294117647059,0.0405679513184584,"h","h",0.357142857142857,0.235294117647059,0.121848739495798,"h","h",0.481481481481482,0.226890756302521,0.254590725178961,"h","h",0.222222222222222,0.226890756302521,-0.00466853408029877,"h","h",0.148148148148148,0.218487394957983,-0.0703392468098351,"h","h",0.111111111111111,0.218487394957983,-0.107376283846872,"h","h",0.185185185185185,0.218487394957983,-0.033302209772798,"h","h",0.444444444444444,0.218487394957983,0.225957049486461,"h","h",0.346153846153846,0.218487394957983,0.127666451195863,"h","h",0.153846153846154,0.218487394957983,-0.0646412411118294,"h","h",0.115384615384615,0.210084033613445,-0.09469941822883,"h","h",0.115384615384615,0.210084033613445,-0.09469941822883,"h","h",0.192307692307692,0.210084033613445,-0.0177763413057531,"h","h",0.461538461538462,0.210084033613445,0.251454427925016,"h","h",0.4,0.201680672268908,0.198319327731092,"h","h",0.125,0.19327731092437,-0.0682773109243698,"h","h",0.0833333333333333,0.184873949579832,-0.101540616246499,"h","h",0.0833333333333333,0.184873949579832,-0.101540616246499,"h","h",0.208333333333333,0.184873949579832,0.0234593837535014,"h","h",0.5,0.184873949579832,0.315126050420168,"h","h",0.333333333333333,0.184873949579832,0.148459383753501,"h","h",0.208333333333333,0.176470588235294,0.0318627450980392,"h","h",0.166666666666667,0.168067226890756,-0.00140056022408966
