"","time","sentiment.ts","ncrimes","sentcat","ratecat"
"1",1396841760,-916,2.5,"m","l"
"2",1396856160,-1,3,"h","m"
"3",1396870560,-566,6,"m","m"
"4",1396884960,-1185,6.5,"m","h"
"5",1396899360,-1185,3.75,"m","m"
"6",1396913760,-1414,6.75,"l","h"
"7",1396928160,-689,2.75,"m","m"
"8",1396942560,-141,1,"h","l"
"9",1396956960,-704,5.75,"m","m"
"10",1396971360,-684,5,"m","m"
"11",1396985760,-629,5.75,"m","m"
"12",1397000160,-926,7.25,"m","h"
"13",1397014560,-687,2.75,"m","m"
"14",1397028960,-86,0.25,"h","l"
"15",1397043360,-316,5,"m","m"
"16",1397057760,0,7.5,"h","h"
"17",1397072160,0,8.5,"h","h"
"18",1397086560,0,6.25,"h","h"
"19",1397100960,0,2.75,"h","m"
"20",1397115360,0,0.5,"h","l"
"21",1397129760,0,3.5,"h","m"
"22",1397144160,-347,4.25,"m","m"
"23",1397158560,-1506,8,"l","h"
"24",1397172960,-3385,6.5,"l","h"
"25",1397187360,-1030,4.5,"m","m"
"26",1397201760,-67,2.75,"h","m"
"27",1397216160,-988,4.25,"m","m"
"28",1397230560,-722,4.25,"m","m"
"29",1397244960,-965,5,"m","m"
"30",1397259360,-1384,6.75,"l","h"
"31",1397273760,-973,7,"m","h"
"32",1397288160,-60,4.25,"h","m"
"33",1397302560,-60,3.5,"h","m"
"34",1397316960,-233,5,"m","m"
"35",1397331360,-110,4.25,"h","m"
"36",1397345760,-889,5.75,"m","m"
"37",1397360160,-1419,7.5,"l","h"
"38",1397374560,-208,4,"m","m"
"39",1397388960,-6,3,"h","m"
"40",1397403360,-320,2.5,"m","l"
"41",1397417760,-345,6.75,"m","h"
"42",1397432160,-1508,7.75,"l","h"
"43",1397446560,-913,5.75,"m","m"
"44",1397460960,-102,2.5,"h","l"
"45",1397475360,-624,4,"m","m"
"46",1397489760,-1472,4.75,"l","m"
"47",1397504160,-824,7.75,"m","h"
"48",1397518560,-1683,6.5,"l","h"
"49",1397532960,-1285,4.25,"l","m"
"50",1397547360,-44,2,"h","l"
"51",1397561760,-881,3,"m","m"
"52",1397576160,-2149,5.75,"l","m"
"53",1397590560,-1985,5.75,"l","m"
"54",1397604960,-2736,5,"l","m"
"55",1397619360,-1617,2.75,"l","m"
"56",1397633760,-17,1,"h","l"
"57",1397648160,-678,3,"m","m"
"58",1397662560,-1067,5,"m","m"
"59",1397676960,-1696,7.75,"l","h"
"60",1397691360,-1837,6.25,"l","h"
"61",1397705760,-1154,4.25,"m","m"
"62",1397720160,-149,1,"h","l"
"63",1397734560,-942,3.75,"m","m"
"64",1397748960,-1315,4,"l","m"
"65",1397763360,-1118,9,"m","h"
"66",1397777760,-3178,8.5,"l","h"
"67",1397792160,-1666,2.75,"l","m"
"68",1397806560,-167,1,"h","l"
"69",1397820960,-238,1.75,"m","l"
"70",1397835360,-898,5,"m","m"
"71",1397849760,-874,7.75,"m","h"
"72",1397864160,-813,8.5,"m","h"
"73",1397878560,-1528,8.25,"l","h"
"74",1397892960,-117,2.75,"h","m"
"75",1397907360,27,2.5,"h","l"
"76",1397921760,-669,3.25,"m","m"
"77",1397936160,308,8.25,"h","h"
"78",1397950560,-1530,5.25,"l","m"
"79",1397964960,-1479,4.25,"l","m"
"80",1397979360,-217,2.5,"m","l"
"81",1397993760,375,3.5,"h","m"
"82",1398008160,-352,3.75,"m","m"
"83",1398022560,-500,6.5,"m","h"
"84",1398036960,-2066,6,"l","m"
"85",1398051360,-1182,3.25,"m","m"
"86",1398065760,-246,1.5,"m","l"
"87",1398080160,-299,5.25,"m","m"
"88",1398094560,-925,5.25,"m","m"
"89",1398108960,-844,6,"m","m"
"90",1398123360,-2769,5.75,"l","m"
"91",1398137760,-1180,2.75,"m","m"
"92",1398152160,-190,1.75,"h","l"
"93",1398166560,-846,2.75,"m","m"
"94",1398180960,-1201,5.5,"l","m"
"95",1398195360,-1111,7.5,"m","h"
"96",1398209760,-2523,6.25,"l","h"
"97",1398224160,-1236,3,"l","m"
"98",1398238560,-216,1.75,"m","l"
"99",1398252960,-1155,4.75,"m","m"
"100",1398267360,-1061,6,"m","m"
"101",1398281760,-1181,8.25,"m","h"
"102",1398296160,-1308,5.75,"l","m"
"103",1398310560,-31,3.5,"h","m"
"104",1398324960,-14,1,"h","l"
"105",1398339360,-705,4.25,"m","m"
"106",1398353760,-477,2.25,"m","l"
"107",1398368160,-988,4.75,"m","m"
"108",1398382560,-2083,7.25,"l","h"
"109",1398396960,-746,3,"m","m"
"110",1398411360,-8,2.25,"h","l"
"111",1398425760,-492,2.75,"m","m"
"112",1398440160,-1011,3.25,"m","m"
"113",1398454560,-961,5.75,"m","m"
"114",1398468960,-1922,4.25,"l","m"
"115",1398483360,-1171,5,"m","m"
"116",1398497760,-146,1.25,"h","l"
"117",1398512160,422,1,"h","l"
"118",1398526560,-425,2.75,"m","m"
"119",1398540960,0,0,"h","l"
