"time","sent"
1397191261.74,"m"
1397192712.98,"m"
1397194333.16,"m"
1397194716.7,"h"
1397196389.61,"m"
1397201011.49,"m"
1397203493.98,"l"
1397206893.76,"h"
1397208968.84,"m"
1397212525.17,"m"
1397214258.7,"m"
1397214912.23,"h"
1397215760.02,"m"
1397217132.71,"m"
1397217263.46,"l"
1397218370.58,"h"
1397218508.19,"m"
1397219774.21,"m"
1397220663.82,"m"
1397221008.31,"h"
1397221701.96,"m"
1397222427.58,"l"
1397222888.02,"m"
1397223574.42,"h"
1397223741.01,"m"
1397224821.98,"m"
1397225769.81,"m"
1397226186.53,"h"
1397226594.32,"m"
1397226939.59,"l"
1397227466.89,"m"
1397228290.7,"m"
1397228427.69,"h"
1397229124.64,"m"
1397229945.49,"m"
1397230705.29,"h"
1397230829.54,"m"
1397230907.31,"l"
1397231715.76,"m"
1397232641.86,"m"
1397233110.69,"h"
1397233481.54,"m"
1397234332.27,"m"
1397235207.69,"l"
1397235258.17,"m"
1397235505.02,"h"
1397236181.49,"m"
1397237017.59,"m"
1397237916.66,"m"
1397237979.64,"h"
1397238826.48,"m"
1397239526.09,"l"
1397239787.52,"m"
1397240489.14,"h"
1397240590.71,"m"
1397241450.56,"m"
1397242370.72,"m"
1397243074.3,"h"
1397243174.77,"m"
1397243942.66,"m"
1397244166.44,"l"
1397244795.53,"m"
1397245294.49,"h"
1397245628.68,"m"
1397246428.94,"m"
1397247215.08,"m"
1397247530.42,"h"
1397248138,"m"
1397248385.16,"l"
1397249001.12,"m"
1397249809.68,"h"
1397249872.24,"m"
1397250709.46,"m"
1397251612.48,"m"
1397252282.22,"h"
1397252561.55,"m"
1397252890.21,"l"
1397253441.98,"m"
1397254353.63,"m"
1397254710.35,"h"
1397255212.41,"m"
1397255903.17,"m"
1397256652.95,"m"
1397257303.72,"h"
1397257434.73,"m"
1397257551.91,"l"
1397258301.8,"m"
1397259091.31,"m"
1397259567.62,"h"
1397259811.5,"m"
1397260500.11,"m"
1397261175.44,"m"
1397261278.13,"l"
1397261466.19,"h"
1397261825.77,"m"
1397262413.06,"m"
1397263009.88,"m"
1397263308.98,"h"
1397263653.72,"m"
1397264227.68,"m"
1397264380.03,"l"
1397264804.94,"m"
1397264904.36,"h"
1397265329.18,"m"
1397265863.01,"m"
1397266354.16,"h"
1397266470.48,"m"
1397267062.79,"m"
1397267295.41,"l"
1397267683.39,"m"
1397268023.84,"h"
1397268225.4,"m"
1397268807.88,"m"
1397269319.21,"m"
1397269501.25,"h"
1397269807.18,"m"
1397270017.89,"l"
1397270378.2,"m"
1397270993.44,"m"
1397271098.19,"h"
1397271573.47,"m"
1397272225.06,"m"
1397272719.39,"h"
1397272841.95,"l"
1397272945.46,"m"
1397273668.01,"m"
1397274394.25,"m"
1397274574.55,"h"
1397275173.31,"m"
1397275908,"m"
1397276197.08,"l"
1397276779.05,"m"
1397276898.72,"h"
1397277879.92,"m"
1397279028.81,"m"
1397279868.11,"h"
1397280268.75,"m"
1397281615.22,"l"
1397281645.43,"m"
1397283361.96,"m"
1397284213.41,"h"
1397285633.74,"m"
1397288936.75,"m"
1397296831.14,"m"
1397297692.63,"h"
1397301244.31,"m"
1397301624.31,"l"
1397303704.42,"m"
1397305250.16,"h"
1397305417.16,"m"
1397306667.62,"m"
1397307650.23,"m"
1397308583.29,"h"
1397308684.47,"m"
1397309027.65,"l"
1397309648.94,"m"
1397310617.63,"m"
1397311399.46,"m"
1397311496.83,"h"
1397312178.32,"m"
1397312956.98,"m"
1397313563.93,"h"
1397313605.63,"l"
1397313762.47,"m"
1397314509.48,"m"
1397315253.07,"m"
1397315879.84,"h"
1397315997.48,"m"
1397316819.24,"m"
1397317561.96,"m"
1397318084.55,"l"
1397318170.45,"h"
1397318320.24,"m"
1397319044.74,"m"
1397319742.51,"m"
1397320252.19,"h"
1397320477.75,"m"
1397321338.73,"m"
1397321992.37,"m"
1397322132.23,"l"
1397322501.03,"h"
1397322691.07,"m"
1397323421.19,"m"
1397324099,"m"
1397324525.39,"h"
1397324851.54,"m"
1397325542.35,"l"
1397325557.2,"m"
1397326301.45,"m"
1397326618.14,"h"
1397327084,"m"
1397327956.65,"m"
1397328742.17,"m"
1397329027.83,"h"
1397329649.22,"m"
1397329759.18,"l"
1397330356.41,"m"
1397331182.91,"m"
1397331713.86,"h"
1397331998.31,"m"
1397332723.3,"m"
1397333549.16,"m"
1397334071.95,"h"
1397334265.95,"l"
1397334370.1,"m"
1397335301.16,"m"
1397336319.25,"m"
1397336844.19,"h"
1397337345.07,"m"
1397338340.08,"m"
1397339141.77,"l"
1397339380.13,"m"
1397339724.76,"h"
1397340279.65,"m"
1397341132.18,"m"
1397342106.87,"m"
1397342464.14,"h"
1397342961.64,"m"
1397343796.72,"m"
1397344051.46,"l"
1397344607.32,"m"
1397344842.42,"h"
1397345406.66,"m"
1397346084.56,"m"
1397346912.26,"m"
1397346954.04,"h"
1397347773.75,"m"
1397348196.1,"l"
1397348589.01,"m"
1397349322.38,"h"
1397349394.44,"m"
1397350151.19,"m"
1397350814.97,"m"
1397351205.06,"h"
1397351466.77,"m"
1397351972.05,"l"
1397352088.89,"m"
1397352742.72,"m"
1397353036.47,"h"
1397353352.03,"m"
1397353956.22,"m"
1397354538.1,"m"
1397354742.09,"h"
1397355114.12,"m"
1397355121.28,"l"
1397355633.63,"m"
1397356292.43,"m"
1397356326.49,"h"
1397356920.74,"m"
1397357448.25,"m"
1397358118.18,"m"
1397358162.7,"h"
1397358165.26,"l"
1397358776.93,"m"
1397359481.66,"m"
1397360094.86,"h"
1397360215.27,"m"
1397360908.12,"m"
1397361579.48,"m"
1397361672,"l"
1397362016.67,"h"
1397362232.47,"m"
1397362880.72,"m"
