"","c","t","cp","ip","diff","c.1","t.1","cp.1","ip.1","diff.1","c.2","t.2","cp.2","ip.2","diff.2","c.3","t.3","cp.3","ip.3","diff.3","c.4","t.4","cp.4","ip.4","diff.4","c.5","t.5","cp.5","ip.5","diff.5","c.6","t.6","cp.6","ip.6","diff.6","c.7","t.7","cp.7","ip.7","diff.7","c.8","t.8","cp.8","ip.8","diff.8","c.9","t.9","cp.9","ip.9","diff.9","c.10","t.10","cp.10","ip.10","diff.10","c.11","t.11","cp.11","ip.11","diff.11","c.12","t.12","cp.12","ip.12","diff.12"
"1","l","l",0,0.25,-0.25,"l","l",0.6,0.233333333333333,0.366666666666667,"l","l",0.2,0.233333333333333,-0.0333333333333333,"l","l",0.0666666666666667,0.233333333333333,-0.166666666666667,"l","l",0.571428571428571,0.216666666666667,0.354761904761905,"l","l",0.214285714285714,0.216666666666667,-0.00238095238095237,"l","l",0.0714285714285714,0.216666666666667,-0.145238095238095,"l","l",0.461538461538462,0.2,0.261538461538462,"l","l",0.230769230769231,0.2,0.0307692307692308,"l","l",0.0769230769230769,0.2,-0.123076923076923,"l","l",0.333333333333333,0.183333333333333,0.15,"l","l",0.166666666666667,0.183333333333333,-0.0166666666666667,"l","l",0.0833333333333333,0.183333333333333,-0.1
"2","l","m",0.2,0.25,-0.05,"l","m",0.1,0.233333333333333,-0.133333333333333,"l","m",0.3,0.233333333333333,0.0666666666666667,"l","m",0.275862068965517,0.233333333333333,0.0425287356321839,"l","m",0.137931034482759,0.216666666666667,-0.0787356321839081,"l","m",0.25,0.216666666666667,0.0333333333333333,"l","m",0.357142857142857,0.216666666666667,0.14047619047619,"l","m",0.178571428571429,0.2,-0.0214285714285715,"l","m",0.185185185185185,0.2,-0.0148148148148148,"l","m",0.333333333333333,0.2,0.133333333333333,"l","m",0.222222222222222,0.183333333333333,0.0388888888888889,"l","m",0.153846153846154,0.183333333333333,-0.0294871794871795,"l","m",0.36,0.183333333333333,0.176666666666667
"3","l","h",0.6,0.25,0.35,"l","h",0.142857142857143,0.233333333333333,-0.0904761904761905,"l","h",0.153846153846154,0.233333333333333,-0.0794871794871795,"l","h",0.384615384615385,0.233333333333333,0.151282051282051,"l","h",0.0769230769230769,0.216666666666667,-0.13974358974359,"l","h",0.230769230769231,0.216666666666667,0.0141025641025641,"l","h",0.166666666666667,0.216666666666667,-0.05,"l","h",0.0833333333333333,0.2,-0.116666666666667,"l","h",0.333333333333333,0.2,0.133333333333333,"l","h",0.181818181818182,0.2,-0.0181818181818182,"l","h",0.0909090909090909,0.183333333333333,-0.0924242424242424,"l","h",0.454545454545455,0.183333333333333,0.271212121212121,"l","h",0.0909090909090909,0.183333333333333,-0.0924242424242424
"4","m","l",0.466666666666667,0.5,-0.0333333333333333,"m","l",0.333333333333333,0.5,-0.166666666666667,"m","l",0.8,0.5,0.3,"m","l",0.466666666666667,0.483333333333333,-0.0166666666666667,"m","l",0.285714285714286,0.483333333333333,-0.197619047619048,"m","l",0.714285714285714,0.466666666666667,0.247619047619048,"m","l",0.285714285714286,0.466666666666667,-0.180952380952381,"m","l",0.384615384615385,0.466666666666667,-0.0820512820512821,"m","l",0.769230769230769,0.466666666666667,0.302564102564102,"m","l",0.230769230769231,0.466666666666667,-0.235897435897436,"m","l",0.5,0.466666666666667,0.0333333333333333,"m","l",0.833333333333333,0.45,0.383333333333333,"m","l",0.5,0.45,0.05
"5","m","m",0.633333333333333,0.5,0.133333333333333,"m","m",0.666666666666667,0.5,0.166666666666667,"m","m",0.366666666666667,0.5,-0.133333333333333,"m","m",0.517241379310345,0.483333333333333,0.0339080459770115,"m","m",0.620689655172414,0.483333333333333,0.13735632183908,"m","m",0.392857142857143,0.466666666666667,-0.0738095238095238,"m","m",0.5,0.466666666666667,0.0333333333333333,"m","m",0.535714285714286,0.466666666666667,0.069047619047619,"m","m",0.444444444444444,0.466666666666667,-0.0222222222222222,"m","m",0.592592592592593,0.466666666666667,0.125925925925926,"m","m",0.592592592592593,0.466666666666667,0.125925925925926,"m","m",0.5,0.45,0.05,"m","m",0.48,0.45,0.03
"6","m","h",0.266666666666667,0.5,-0.233333333333333,"m","h",0.357142857142857,0.5,-0.142857142857143,"m","h",0.538461538461538,0.5,0.0384615384615384,"m","h",0.538461538461538,0.483333333333333,0.0551282051282051,"m","h",0.538461538461538,0.483333333333333,0.0551282051282051,"m","h",0.538461538461538,0.466666666666667,0.0717948717948718,"m","h",0.833333333333333,0.466666666666667,0.366666666666667,"m","h",0.666666666666667,0.466666666666667,0.2,"m","h",0.5,0.466666666666667,0.0333333333333333,"m","h",0.818181818181818,0.466666666666667,0.351515151515152,"m","h",0.545454545454546,0.466666666666667,0.0787878787878789,"m","h",0.363636363636364,0.45,-0.0863636363636364,"m","h",0.818181818181818,0.45,0.368181818181818
"7","h","l",0.533333333333333,0.25,0.283333333333333,"h","l",0.0666666666666667,0.25,-0.183333333333333,"h","l",0,0.233333333333333,-0.233333333333333,"h","l",0.466666666666667,0.233333333333333,0.233333333333333,"h","l",0.142857142857143,0.233333333333333,-0.0904761904761905,"h","l",0.0714285714285714,0.233333333333333,-0.161904761904762,"h","l",0.642857142857143,0.216666666666667,0.426190476190476,"h","l",0.153846153846154,0.216666666666667,-0.0628205128205128,"h","l",0,0.2,-0.2,"h","l",0.692307692307692,0.183333333333333,0.508974358974359,"h","l",0.166666666666667,0.183333333333333,-0.0166666666666667,"h","l",0,0.183333333333333,-0.183333333333333,"h","l",0.416666666666667,0.166666666666667,0.25
"8","h","m",0.166666666666667,0.25,-0.0833333333333333,"h","m",0.233333333333333,0.25,-0.0166666666666667,"h","m",0.333333333333333,0.233333333333333,0.1,"h","m",0.206896551724138,0.233333333333333,-0.0264367816091954,"h","m",0.241379310344828,0.233333333333333,0.00804597701149426,"h","m",0.357142857142857,0.233333333333333,0.123809523809524,"h","m",0.142857142857143,0.216666666666667,-0.0738095238095238,"h","m",0.285714285714286,0.216666666666667,0.069047619047619,"h","m",0.37037037037037,0.2,0.17037037037037,"h","m",0.0740740740740741,0.183333333333333,-0.109259259259259,"h","m",0.185185185185185,0.183333333333333,0.00185185185185185,"h","m",0.346153846153846,0.183333333333333,0.162820512820513,"h","m",0.16,0.166666666666667,-0.00666666666666665
"9","h","h",0.133333333333333,0.25,-0.116666666666667,"h","h",0.5,0.25,0.25,"h","h",0.307692307692308,0.233333333333333,0.0743589743589743,"h","h",0.0769230769230769,0.233333333333333,-0.156410256410256,"h","h",0.384615384615385,0.233333333333333,0.151282051282051,"h","h",0.230769230769231,0.233333333333333,-0.00256410256410255,"h","h",0,0.216666666666667,-0.216666666666667,"h","h",0.25,0.216666666666667,0.0333333333333333,"h","h",0.166666666666667,0.2,-0.0333333333333334,"h","h",0,0.183333333333333,-0.183333333333333,"h","h",0.363636363636364,0.183333333333333,0.18030303030303,"h","h",0.181818181818182,0.183333333333333,-0.0015151515151515,"h","h",0.0909090909090909,0.166666666666667,-0.0757575757575757
