Offset,Correlation Value,P Value
0,-0.5654111028,2.51320644615401E-006
1,0.3086980536,0.0173672457
2,0.1719547391,0.1968080819
3,-0.4140259017,0.0013668323
4,0.2087489126,0.1225967158
5,0.1696735748,0.2155554247
6,-0.3418864923,0.0113961867
7,0.1551749211,0.2672190498
8,0.2184131827,0.119812658
9,-0.3615399364,0.0091411076
10,0.2103827267,0.1425193995
11,0.1511569054,0.2998499898
12,-0.2048321201,0.1625431937
